CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
90505832,1,1,1,M,65,1,1,P,W,1,CALAVERAS,UNINCORPORATED,2017
90505832,1,2,2,F,57,4,2,P,Y,1,CALAVERAS,UNINCORPORATED,2017
91012673,1,1,1,M,30,5,1,P,V,1,CALAVERAS,UNINCORPORATED,2019
91443077,1,1,1,M,47,1,1,P,W,1,CALAVERAS,UNINCORPORATED,2021
90868702,1,1,1,M,30,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2018
92096788,1,1,2,F,30,5,3,P,W,1,CALAVERAS,UNINCORPORATED,2023
92096788,1,2,1,M,30,5,1,P,V,1,CALAVERAS,UNINCORPORATED,2023
91585680,1,1,1,M,55,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2021
91694695,1,1,1,M,21,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2022
90538374,1,1,1,M,61,2,1,L,G,0,CALAVERAS,UNINCORPORATED,2017
90538374,2,1,1,F,65,2,1,L,G,0,CALAVERAS,UNINCORPORATED,2017
90538374,2,2,2,M,73,2,3,L,G,0,CALAVERAS,UNINCORPORATED,2017
90722672,1,1,1,M,62,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2018
92302235,1,1,1,M,58,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2024
91300680,1,1,1,M,42,5,1,P,V,0,CALAVERAS,UNINCORPORATED,2020
92159744,1,1,1,M,53,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2023
91388094,1,1,1,M,46,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2021
91859090,1,1,1,M,62,1,1,M,G,0,CALAVERAS,UNINCORPORATED,2022
92091896,1,1,1,F,47,5,1,M,G,0,CALAVERAS,UNINCORPORATED,2023
92094611,1,1,1,M,32,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2023
9547141,2,1,1,M,27,2,1,M,G,0,CALAVERAS,"ANGELS CAMP",2022
90183343,2,1,1,F,43,2,1,M,G,0,CALAVERAS,UNINCORPORATED,2016
90242900,1,1,1,F,17,2,1,L,G,0,CALAVERAS,UNINCORPORATED,2016
90242900,2,1,1,F,58,2,1,L,G,0,CALAVERAS,UNINCORPORATED,2016
90242900,2,2,2,F,55,4,3,L,G,0,CALAVERAS,UNINCORPORATED,2016
90242900,2,3,2,M,22,4,6,P,G,0,CALAVERAS,UNINCORPORATED,2016
90495810,1,1,1,M,43,2,1,P,W,1,CALAVERAS,UNINCORPORATED,2017
91958294,1,1,1,M,36,1,1,B,B,0,CALAVERAS,UNINCORPORATED,2022
94365342,1,1,1,M,41,5,1,M,G,0,CALAVERAS,UNINCORPORATED,2024
94567365,1,1,1,F,34,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2025
90024356,1,1,1,M,56,2,1,M,H,0,CALAVERAS,UNINCORPORATED,2015
91927660,1,1,1,M,23,5,1,L,H,3,CALAVERAS,UNINCORPORATED,2022
91047874,1,1,1,M,30,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2019
91047874,2,1,1,M,51,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2019
92198872,1,1,1,M,62,5,1,M,G,0,CALAVERAS,UNINCORPORATED,2023
90228082,1,1,1,F,73,2,1,L,G,0,CALAVERAS,UNINCORPORATED,2016
90228082,1,2,2,-,74,4,3,L,G,0,CALAVERAS,UNINCORPORATED,2016
90228082,2,1,1,F,40,3,1,L,G,0,CALAVERAS,UNINCORPORATED,2016
90228082,2,2,2,F,14,0,6,P,G,0,CALAVERAS,UNINCORPORATED,2016
90228082,2,3,2,M,37,0,3,P,G,0,CALAVERAS,UNINCORPORATED,2016
92108206,1,1,1,M,43,5,1,P,P,1,CALAVERAS,UNINCORPORATED,2023
94395282,1,1,1,M,23,1,1,P,B,0,CALAVERAS,UNINCORPORATED,2024
94395282,2,1,2,F,21,1,3,L,G,0,CALAVERAS,UNINCORPORATED,2024
94395282,2,2,1,M,21,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2024
90843554,1,1,1,M,48,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2018
90843554,1,2,2,F,37,7,3,L,G,0,CALAVERAS,UNINCORPORATED,2018
90843554,1,3,2,F,16,6,4,P,H,0,CALAVERAS,UNINCORPORATED,2018
90843554,1,4,2,F,10,6,5,P,G,0,CALAVERAS,UNINCORPORATED,2018
90843554,1,5,2,F,15,6,6,P,H,0,CALAVERAS,UNINCORPORATED,2018
90843554,2,1,1,M,65,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2018
90163257,2,1,1,M,73,2,1,M,G,0,CALAVERAS,UNINCORPORATED,2016
90561438,1,1,1,F,62,1,1,M,W,1,CALAVERAS,UNINCORPORATED,2017
90561438,2,1,1,F,77,3,1,L,G,0,CALAVERAS,UNINCORPORATED,2017
91308800,1,1,1,M,50,1,1,P,W,1,CALAVERAS,UNINCORPORATED,2020
91411665,1,1,1,M,65,5,1,P,G,0,CALAVERAS,UNINCORPORATED,2021
92093339,1,1,1,F,82,7,1,L,G,0,CALAVERAS,UNINCORPORATED,2023
92093339,2,1,2,F,15,6,0,P,Y,1,CALAVERAS,UNINCORPORATED,2023
92093339,2,2,1,M,40,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2023
94717204,1,1,1,M,22,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2025
90295710,1,1,1,F,17,4,1,P,G,0,CALAVERAS,UNINCORPORATED,2016
90295710,1,2,2,M,16,2,3,M,G,0,CALAVERAS,UNINCORPORATED,2016
91088589,1,1,1,M,57,5,1,M,G,0,CALAVERAS,UNINCORPORATED,2019
92001457,1,1,1,F,11,5,1,P,G,2,CALAVERAS,UNINCORPORATED,2023
94692947,1,1,1,M,79,6,1,L,G,0,CALAVERAS,UNINCORPORATED,2025
94692947,2,1,1,M,70,5,1,P,B,0,CALAVERAS,UNINCORPORATED,2025
6718504,1,1,1,M,18,1,1,L,G,0,CALAVERAS,UNINCORPORATED,2014
6718504,2,1,1,M,52,2,1,L,G,0,CALAVERAS,UNINCORPORATED,2014
6718504,2,2,2,-,55,2,3,L,G,0,CALAVERAS,UNINCORPORATED,2014
90649159,1,1,1,M,53,5,1,P,V,1,CALAVERAS,UNINCORPORATED,2018
91146991,1,1,1,M,60,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2019
91146991,2,1,1,F,27,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2019
91582517,1,1,1,M,53,1,1,P,W,1,CALAVERAS,UNINCORPORATED,2021
6718046,1,1,1,M,79,1,1,M,G,0,CALAVERAS,UNINCORPORATED,2014
6718046,1,2,2,M,52,4,3,M,G,0,CALAVERAS,UNINCORPORATED,2014
91150990,1,1,1,M,17,5,1,M,H,0,CALAVERAS,UNINCORPORATED,2019
91159992,1,1,1,M,33,5,1,M,H,0,CALAVERAS,UNINCORPORATED,2019
90468034,1,1,1,M,52,3,1,L,G,0,CALAVERAS,UNINCORPORATED,2017
90468034,2,1,2,F,58,1,3,L,G,0,CALAVERAS,UNINCORPORATED,2017
90468034,2,2,1,M,60,2,1,L,G,0,CALAVERAS,UNINCORPORATED,2017
91971831,1,1,1,F,69,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2023
94470060,1,1,1,F,94,5,1,M,G,0,CALAVERAS,UNINCORPORATED,2024
94470060,2,1,1,M,38,7,1,L,G,0,CALAVERAS,UNINCORPORATED,2024
91189347,1,1,1,M,28,5,1,M,H,1,CALAVERAS,UNINCORPORATED,2020
90773677,1,1,1,M,19,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2018
94651593,1,1,1,M,33,5,1,L,P,0,CALAVERAS,UNINCORPORATED,2025
94651593,1,2,2,F,21,1,3,L,G,0,CALAVERAS,UNINCORPORATED,2025
90656173,1,1,1,M,76,5,1,M,G,0,CALAVERAS,UNINCORPORATED,2018
90788238,1,1,1,F,36,1,1,M,H,1,CALAVERAS,UNINCORPORATED,2018
90788238,1,2,2,F,6,6,5,M,Q,0,CALAVERAS,UNINCORPORATED,2018
91023834,1,1,1,F,35,5,1,M,D,0,CALAVERAS,UNINCORPORATED,2019
91057625,2,1,1,M,18,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2019
91291270,1,1,1,M,50,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2020
90897758,1,1,1,M,57,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2018
9192070,2,1,4,-,56,2,0,P,-,0,CALAVERAS,"ANGELS CAMP",2020
90219906,2,1,1,F,62,2,1,M,C,0,CALAVERAS,UNINCORPORATED,2016
90219906,2,2,2,M,62,2,3,M,G,0,CALAVERAS,UNINCORPORATED,2016
90293199,1,1,1,M,30,2,1,L,G,0,CALAVERAS,UNINCORPORATED,2016
90495822,1,1,1,F,61,2,1,L,G,0,CALAVERAS,UNINCORPORATED,2017
90495822,2,1,1,M,54,2,1,P,G,0,CALAVERAS,UNINCORPORATED,2017
91251002,1,1,1,M,50,1,1,L,G,0,CALAVERAS,UNINCORPORATED,2019
91251002,2,1,1,M,42,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2019
91251002,2,2,2,F,40,5,3,L,G,0,CALAVERAS,UNINCORPORATED,2019
91829896,1,1,1,M,32,1,1,B,B,0,CALAVERAS,UNINCORPORATED,2022
91829896,2,1,1,M,57,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2022
92145555,1,1,1,M,58,5,1,L,H,1,CALAVERAS,UNINCORPORATED,2023
6359118,1,1,2,F,18,0,2,P,C,0,CALAVERAS,UNINCORPORATED,2014
6359118,1,2,2,M,21,0,3,P,G,0,CALAVERAS,UNINCORPORATED,2014
6359118,2,1,3,M,37,2,9,-,-,3,CALAVERAS,UNINCORPORATED,2014
6359118,3,1,2,M,52,0,1,P,H,0,CALAVERAS,UNINCORPORATED,2014
90825301,1,1,1,M,59,6,1,P,W,2,CALAVERAS,UNINCORPORATED,2018
90825301,1,2,2,F,56,5,2,P,Y,1,CALAVERAS,UNINCORPORATED,2018
90897952,1,1,1,M,54,1,1,P,W,1,CALAVERAS,UNINCORPORATED,2018
91232688,1,1,1,M,33,5,1,P,V,1,CALAVERAS,UNINCORPORATED,2020
6907395,1,1,2,M,57,2,4,L,G,0,CALAVERAS,UNINCORPORATED,2015
6907395,1,2,2,M,32,4,6,L,G,0,CALAVERAS,UNINCORPORATED,2015
6907395,1,3,2,M,63,4,3,L,G,0,CALAVERAS,UNINCORPORATED,2015
6907395,1,4,1,M,59,4,1,L,G,0,CALAVERAS,UNINCORPORATED,2015
90287489,2,1,1,M,21,2,1,P,W,1,CALAVERAS,UNINCORPORATED,2016
91486527,1,1,1,F,53,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2021
91585645,2,1,1,M,38,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2021
9022814,1,1,1,M,75,2,1,L,G,0,CALAVERAS,"ANGELS CAMP",2019
9022814,1,2,2,F,77,2,3,L,G,0,CALAVERAS,"ANGELS CAMP",2019
90626407,1,1,1,F,27,1,1,L,G,0,CALAVERAS,UNINCORPORATED,2017
90626407,1,2,2,F,1,1,6,P,Q,0,CALAVERAS,UNINCORPORATED,2017
90626407,1,3,2,M,4,6,4,P,Q,0,CALAVERAS,UNINCORPORATED,2017
90467073,1,1,1,F,46,3,1,L,G,0,CALAVERAS,UNINCORPORATED,2017
90467073,2,1,1,F,50,4,1,M,G,0,CALAVERAS,UNINCORPORATED,2017
90467073,3,1,1,M,43,2,1,M,G,0,CALAVERAS,UNINCORPORATED,2017
91748044,1,1,1,F,63,5,1,P,W,1,CALAVERAS,UNINCORPORATED,2022
94585427,1,1,2,F,24,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2025
94585427,1,2,1,M,28,6,3,L,G,0,CALAVERAS,UNINCORPORATED,2025
6836212,1,1,1,M,23,2,1,M,G,0,CALAVERAS,UNINCORPORATED,2015
90861162,1,1,1,M,32,5,1,L,G,0,CALAVERAS,UNINCORPORATED,2018
90861162,1,2,2,M,10,6,3,L,G,0,CALAVERAS,UNINCORPORATED,2018
90861162,1,3,2,M,998,6,4,L,Q,0,CALAVERAS,UNINCORPORATED,2018
