CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
90799906,2,1,1,M,64,5,1,M,G,0,COLUSA,UNINCORPORATED,2018
91888787,1,1,2,F,5,1,6,P,X,0,COLUSA,UNINCORPORATED,2022
91888787,1,2,5,M,23,5,0,P,V,0,COLUSA,UNINCORPORATED,2022
91888787,1,3,2,M,13,6,3,P,X,0,COLUSA,UNINCORPORATED,2022
90468965,1,1,1,M,64,2,1,P,W,1,COLUSA,UNINCORPORATED,2017
91593956,1,1,2,F,19,5,3,L,G,0,COLUSA,UNINCORPORATED,2021
91593956,1,2,2,M,21,5,4,L,G,0,COLUSA,UNINCORPORATED,2021
91593956,1,3,2,F,18,5,C,L,G,0,COLUSA,UNINCORPORATED,2021
91593956,1,4,2,F,45,5,A,L,G,0,COLUSA,UNINCORPORATED,2021
91491692,1,1,5,M,41,5,0,P,P,1,COLUSA,UNINCORPORATED,2021
92008992,1,1,1,M,72,5,1,M,G,0,COLUSA,UNINCORPORATED,2023
91572991,1,1,1,M,22,5,1,L,G,0,COLUSA,UNINCORPORATED,2021
91572991,2,1,1,M,55,6,1,L,G,0,COLUSA,UNINCORPORATED,2021
91837931,2,1,1,M,74,5,1,P,B,0,COLUSA,UNINCORPORATED,2022
91845737,1,1,1,M,24,5,1,L,H,0,COLUSA,UNINCORPORATED,2022
6699403,1,1,1,M,26,2,1,M,G,0,COLUSA,UNINCORPORATED,2014
6699403,1,2,2,-,31,2,3,M,G,0,COLUSA,UNINCORPORATED,2014
6699403,1,3,2,F,20,0,6,P,G,0,COLUSA,UNINCORPORATED,2014
6699403,1,4,2,M,22,0,5,P,G,0,COLUSA,UNINCORPORATED,2014
6699403,2,1,2,M,998,0,3,L,G,0,COLUSA,UNINCORPORATED,2014
8500576,1,1,2,M,33,0,3,L,G,0,COLUSA,WILLIAMS,2017
8500576,1,2,2,M,48,2,6,L,G,0,COLUSA,WILLIAMS,2017
8500576,2,1,1,M,64,4,1,L,G,0,COLUSA,WILLIAMS,2017
8500576,2,2,2,F,63,4,3,L,G,0,COLUSA,WILLIAMS,2017
8500576,2,3,2,F,40,4,6,L,G,0,COLUSA,WILLIAMS,2017
6577791,1,1,1,M,25,4,1,L,G,0,COLUSA,UNINCORPORATED,2014
6577791,1,2,2,M,24,2,2,L,G,0,COLUSA,UNINCORPORATED,2014
6706050,1,1,1,M,44,2,1,P,H,0,COLUSA,UNINCORPORATED,2014
94688790,1,1,1,F,47,5,1,L,G,0,COLUSA,UNINCORPORATED,2025
94688790,1,2,2,M,8,7,6,M,G,0,COLUSA,UNINCORPORATED,2025
91886127,1,1,1,F,24,6,1,M,G,0,COLUSA,UNINCORPORATED,2022
91886127,2,1,2,M,19,6,3,M,G,0,COLUSA,UNINCORPORATED,2022
91886127,2,2,1,M,22,6,1,M,G,0,COLUSA,UNINCORPORATED,2022
91886127,2,3,2,F,20,5,5,M,D,1,COLUSA,UNINCORPORATED,2022
91290077,1,1,1,F,56,1,1,L,G,0,COLUSA,UNINCORPORATED,2020
91505183,1,1,1,M,20,5,1,L,G,0,COLUSA,UNINCORPORATED,2021
91810184,1,1,1,M,69,5,1,P,V,1,COLUSA,UNINCORPORATED,2022
90612733,1,1,1,M,20,5,1,M,C,0,COLUSA,UNINCORPORATED,2017
90612733,1,2,2,M,21,5,3,M,G,0,COLUSA,UNINCORPORATED,2017
90698903,1,1,1,M,41,5,1,L,G,0,COLUSA,UNINCORPORATED,2018
91088099,1,1,1,F,28,5,1,L,G,0,COLUSA,UNINCORPORATED,2019
6854624,1,1,1,M,27,4,1,L,G,0,COLUSA,UNINCORPORATED,2015
6854624,2,1,1,F,46,1,1,L,G,0,COLUSA,UNINCORPORATED,2015
90027826,1,1,1,F,33,2,1,L,G,0,COLUSA,UNINCORPORATED,2015
90027826,2,1,1,M,41,2,1,L,G,0,COLUSA,UNINCORPORATED,2015
90027826,3,1,1,F,27,4,1,L,G,0,COLUSA,UNINCORPORATED,2015
91559184,1,1,2,F,53,5,3,L,G,0,COLUSA,UNINCORPORATED,2021
91559184,1,2,1,M,55,5,1,L,G,0,COLUSA,UNINCORPORATED,2021
91667327,1,1,1,M,20,5,1,L,B,0,COLUSA,UNINCORPORATED,2021
91667327,1,2,2,M,18,6,3,L,G,0,COLUSA,UNINCORPORATED,2021
91667327,1,3,2,M,30,6,6,P,G,0,COLUSA,UNINCORPORATED,2021
91905706,1,1,1,M,73,5,1,L,G,0,COLUSA,UNINCORPORATED,2022
91905706,2,1,1,M,23,5,1,L,G,0,COLUSA,UNINCORPORATED,2022
92395417,1,1,2,F,30,5,3,M,G,0,COLUSA,UNINCORPORATED,2024
91269003,1,1,1,M,36,5,1,L,G,0,COLUSA,UNINCORPORATED,2020
90094602,1,1,2,M,998,0,5,P,T,0,COLUSA,UNINCORPORATED,2015
90094602,1,2,2,F,26,3,3,L,G,0,COLUSA,UNINCORPORATED,2015
90094602,2,1,1,M,38,1,1,P,W,1,COLUSA,UNINCORPORATED,2015
91571856,1,1,1,M,48,5,1,P,W,1,COLUSA,UNINCORPORATED,2021
90817875,1,1,2,F,66,1,3,L,G,0,COLUSA,UNINCORPORATED,2018
92391960,1,1,1,M,23,5,1,P,W,1,COLUSA,UNINCORPORATED,2024
92601890,1,1,1,M,35,5,1,M,H,1,COLUSA,UNINCORPORATED,2024
90020230,1,1,1,M,33,2,1,M,H,1,COLUSA,UNINCORPORATED,2015
90656565,1,1,1,F,74,5,1,L,G,0,COLUSA,UNINCORPORATED,2018
90656565,1,2,2,M,75,1,3,L,G,0,COLUSA,UNINCORPORATED,2018
6857169,1,1,1,M,69,2,1,P,W,1,COLUSA,UNINCORPORATED,2015
92168980,1,1,1,F,28,5,1,M,H,1,COLUSA,UNINCORPORATED,2023
9601501,2,1,1,F,37,2,1,L,G,0,COLUSA,WILLIAMS,2023
91665866,1,1,1,M,65,5,1,M,H,0,COLUSA,UNINCORPORATED,2021
91665866,2,1,1,M,46,6,1,L,H,0,COLUSA,UNINCORPORATED,2021
91665866,2,2,2,M,57,6,3,L,H,0,COLUSA,UNINCORPORATED,2021
92045002,1,1,2,F,60,5,3,M,G,0,COLUSA,UNINCORPORATED,2023
7017817,1,1,1,M,22,2,1,P,G,0,COLUSA,UNINCORPORATED,2015
6658698,1,1,2,F,30,2,3,H,-,0,COLUSA,COLUSA,2014
6658698,1,2,2,M,2,0,6,Q,-,0,COLUSA,COLUSA,2014
6658698,2,1,1,F,31,4,1,G,-,0,COLUSA,COLUSA,2014
90572685,1,1,1,M,32,5,1,L,G,0,COLUSA,UNINCORPORATED,2017
90572685,2,1,1,M,20,6,1,L,G,0,COLUSA,UNINCORPORATED,2017
90911280,1,1,1,M,24,5,1,L,H,1,COLUSA,UNINCORPORATED,2019
8939476,1,1,1,F,23,5,1,L,H,0,COLUSA,COLUSA,2019
8939476,1,2,5,-,998,1,9,-,-,3,COLUSA,COLUSA,2019
8939476,1,3,2,F,5,5,6,P,U,3,COLUSA,COLUSA,2019
91819766,1,1,1,M,36,5,1,B,G,0,COLUSA,UNINCORPORATED,2022
