CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8057157,1,1,3,M,37,2,9,-,-,0,"CONTRA COSTA",CONCORD,2016
8057157,2,1,2,F,20,0,3,M,G,0,"CONTRA COSTA",CONCORD,2016
8391222,2,1,5,M,49,2,2,P,A,1,"CONTRA COSTA",MARTINEZ,2017
8404438,1,1,3,F,56,1,9,-,-,3,"CONTRA COSTA",PITTSBURG,2017
8432645,2,1,4,M,63,2,1,W,-,1,"CONTRA COSTA","SAN RAMON",2017
8519759,1,1,3,M,32,2,9,-,-,3,"CONTRA COSTA",PITTSBURG,2017
8758228,1,1,1,M,54,2,1,P,W,0,"CONTRA COSTA",CONCORD,2018
92381140,2,1,1,M,68,5,0,P,W,1,"CONTRA COSTA",UNINCORPORATED,2024
94693687,1,1,1,M,23,5,1,P,W,1,"CONTRA COSTA",UNINCORPORATED,2025
9189421,1,1,4,M,57,2,1,P,W,1,"CONTRA COSTA",CONCORD,2020
9189421,3,1,2,M,52,0,3,M,G,0,"CONTRA COSTA",CONCORD,2020
9807452,2,1,1,M,39,5,1,P,-,1,"CONTRA COSTA",BRENTWOOD,2025
81857463,1,1,1,M,26,1,1,M,G,0,"CONTRA COSTA",ANTIOCH,2022
90124431,1,1,1,M,52,2,1,M,G,0,"CONTRA COSTA",UNINCORPORATED,2016
91639450,2,1,4,M,53,5,0,P,P,1,"CONTRA COSTA",UNINCORPORATED,2021
91872388,1,1,1,M,25,5,1,P,W,1,"CONTRA COSTA",UNINCORPORATED,2022
6435304,1,1,1,F,85,2,1,L,B,0,"CONTRA COSTA","SAN RAMON",2014
6435304,2,1,1,F,51,4,1,M,G,0,"CONTRA COSTA","SAN RAMON",2014
6435304,2,2,2,F,44,4,3,M,G,0,"CONTRA COSTA","SAN RAMON",2014
6493532,1,1,1,M,56,4,1,P,G,0,"CONTRA COSTA",UNINCORPORATED,2014
6493532,2,1,1,F,57,2,1,P,G,0,"CONTRA COSTA",UNINCORPORATED,2014
8017048,1,1,1,M,20,2,1,P,V,1,"CONTRA COSTA",BRENTWOOD,2016
8017048,1,2,2,F,46,0,3,L,G,0,"CONTRA COSTA",BRENTWOOD,2016
8984956,1,1,3,F,55,2,9,-,-,3,"CONTRA COSTA",CONCORD,2019
9279405,1,1,2,M,6,2,7,N,-,1,"CONTRA COSTA",ANTIOCH,2021
9279405,1,2,1,M,39,3,1,-,-,1,"CONTRA COSTA",ANTIOCH,2021
84443376,2,1,3,M,37,5,9,-,P,-,"CONTRA COSTA",CONCORD,2024
92172273,1,1,1,M,28,5,1,L,H,0,"CONTRA COSTA",UNINCORPORATED,2023
92399869,2,1,2,F,72,5,6,M,G,0,"CONTRA COSTA","PLEASANT HILL",2024
90240741,1,1,1,M,68,2,1,P,W,0,"CONTRA COSTA",UNINCORPORATED,2016
90790249,2,1,1,M,63,5,1,P,W,1,"CONTRA COSTA",UNINCORPORATED,2018
90855848,1,1,1,M,28,5,1,P,P,1,"CONTRA COSTA",RICHMOND,2018
90917092,2,1,3,F,64,5,9,-,-,-,"CONTRA COSTA",RICHMOND,2018
91176706,1,1,1,F,26,5,1,L,G,0,"CONTRA COSTA",UNINCORPORATED,2020
91585698,1,1,1,M,32,5,1,L,G,0,"CONTRA COSTA",CONCORD,2021
6632502,1,1,1,M,23,3,1,L,G,0,"CONTRA COSTA",UNINCORPORATED,2014
6632502,1,2,2,F,22,2,3,L,G,0,"CONTRA COSTA",UNINCORPORATED,2014
6767249,1,1,1,M,49,2,1,P,W,0,"CONTRA COSTA",UNINCORPORATED,2014
8911374,1,1,2,F,15,1,4,L,D,1,"CONTRA COSTA",ANTIOCH,2020
8911374,1,2,2,M,19,2,3,L,E,0,"CONTRA COSTA",ANTIOCH,2020
8911374,1,3,1,M,20,2,1,L,H,0,"CONTRA COSTA",ANTIOCH,2020
9143158,1,1,1,M,86,4,1,L,G,0,"CONTRA COSTA",CONCORD,2020
9143158,2,1,1,M,56,2,1,L,G,0,"CONTRA COSTA",CONCORD,2020
9143158,3,1,1,F,34,4,1,M,G,0,"CONTRA COSTA",CONCORD,2020
9602180,1,1,4,M,14,5,-,P,W,1,"CONTRA COSTA",MARTINEZ,2023
9602180,2,1,4,M,31,6,-,P,V,1,"CONTRA COSTA",MARTINEZ,2023
9640093,1,1,2,M,53,0,2,M,G,0,"CONTRA COSTA",PITTSBURG,2023
9640093,2,1,3,M,24,1,-,P,-,-,"CONTRA COSTA",PITTSBURG,2023
92388251,2,1,2,F,60,7,6,L,G,0,"CONTRA COSTA",UNINCORPORATED,2024
92388251,2,2,2,M,53,7,3,L,G,0,"CONTRA COSTA",UNINCORPORATED,2024
92388251,2,3,2,F,34,7,4,L,G,0,"CONTRA COSTA",UNINCORPORATED,2024
92388251,2,4,1,M,58,6,1,L,G,0,"CONTRA COSTA",UNINCORPORATED,2024
92388251,2,5,2,F,55,5,5,L,G,0,"CONTRA COSTA",UNINCORPORATED,2024
94393049,1,1,1,M,48,5,1,M,G,0,"CONTRA COSTA",UNINCORPORATED,2024
91135962,2,1,4,M,46,1,1,-,W,1,"CONTRA COSTA",UNINCORPORATED,2019
91309722,2,1,4,M,68,5,1,-,W,1,"CONTRA COSTA",UNINCORPORATED,2020
91790706,1,1,2,F,25,5,6,L,G,0,"CONTRA COSTA",ORINDA,2022
91856136,1,1,3,M,43,1,9,-,-,-,"CONTRA COSTA",RICHMOND,2021
91895019,1,1,1,M,31,5,1,P,W,1,"CONTRA COSTA",UNINCORPORATED,2022
92350309,2,1,1,M,46,5,1,M,G,0,"CONTRA COSTA",UNINCORPORATED,2024
9665821,1,1,1,M,34,2,1,P,W,1,"CONTRA COSTA","WALNUT CREEK",2024
81653628,1,1,1,M,21,6,1,L,G,0,"CONTRA COSTA",CONCORD,2021
81653628,1,2,2,M,16,5,3,L,G,0,"CONTRA COSTA",CONCORD,2021
81653628,1,3,2,M,19,5,4,M,H,0,"CONTRA COSTA",CONCORD,2021
82331768,2,1,2,F,22,5,2,L,C,0,"CONTRA COSTA",ANTIOCH,2023
90706265,1,1,1,M,27,1,1,L,G,0,"CONTRA COSTA",MARTINEZ,2018
90723553,3,1,1,M,36,5,1,L,G,0,"CONTRA COSTA","WALNUT CREEK",2018
90780427,4,1,1,M,33,5,1,P,W,1,"CONTRA COSTA",UNINCORPORATED,2018
6433309,1,1,1,M,27,3,1,L,C,3,"CONTRA COSTA","SAN PABLO",2014
6433309,1,2,2,M,31,3,3,L,C,0,"CONTRA COSTA","SAN PABLO",2014
6433309,1,3,2,F,21,2,6,P,D,0,"CONTRA COSTA","SAN PABLO",2014
6435112,1,1,2,F,72,0,3,M,-,0,"CONTRA COSTA","SAN RAMON",2014
6435112,2,1,4,M,15,2,9,-,-,0,"CONTRA COSTA","SAN RAMON",2014
6550823,1,1,1,M,25,4,1,N,B,0,"CONTRA COSTA",PITTSBURG,2014
6550823,2,1,1,F,53,2,1,N,B,0,"CONTRA COSTA",PITTSBURG,2014
8003422,1,1,3,M,87,2,9,-,-,3,"CONTRA COSTA",CONCORD,2016
8284588,1,1,2,M,2,0,6,P,G,0,"CONTRA COSTA",RICHMOND,2016
8284588,2,1,3,F,29,2,9,-,-,3,"CONTRA COSTA",RICHMOND,2016
8791693,1,1,1,M,20,2,1,L,G,0,"CONTRA COSTA",CONCORD,2019
90791756,3,1,2,F,56,7,3,L,G,0,"CONTRA COSTA",HERCULES,2018
90791756,4,1,1,M,20,5,1,L,G,0,"CONTRA COSTA",HERCULES,2018
90791756,7,1,1,F,42,7,1,M,G,0,"CONTRA COSTA",HERCULES,2018
91470059,1,1,1,M,29,1,1,M,H,0,"CONTRA COSTA",UNINCORPORATED,2021
91470059,2,1,1,M,35,6,1,L,G,0,"CONTRA COSTA",UNINCORPORATED,2021
91897264,2,1,2,M,34,5,6,P,H,1,"CONTRA COSTA","SAN PABLO",2022
91897264,2,2,2,M,998,6,6,L,H,2,"CONTRA COSTA","SAN PABLO",2022
92013425,1,1,3,M,59,1,9,P,P,-,"CONTRA COSTA",CONCORD,2022
92103271,2,1,1,F,57,5,1,L,G,0,"CONTRA COSTA",RICHMOND,2023
