CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6325964,1,1,1,M,28,3,1,L,G,0,"EL DORADO",UNINCORPORATED,2014
6325964,2,1,1,M,31,2,1,L,G,0,"EL DORADO",UNINCORPORATED,2014
90971272,1,1,1,F,50,5,1,L,G,0,"EL DORADO",UNINCORPORATED,2019
91170355,1,1,1,F,67,1,1,M,G,0,"EL DORADO",UNINCORPORATED,2019
91329661,3,1,1,M,58,5,1,B,G,0,"EL DORADO",UNINCORPORATED,2020
91329661,3,2,2,F,58,6,3,B,G,0,"EL DORADO",UNINCORPORATED,2020
91842531,1,1,1,M,55,5,1,P,W,1,"EL DORADO",UNINCORPORATED,2022
91913650,1,1,1,M,66,5,1,P,W,1,"EL DORADO",UNINCORPORATED,2022
90008270,1,1,1,M,21,2,1,L,G,0,"EL DORADO",UNINCORPORATED,2015
90008270,1,2,2,M,21,3,3,P,G,0,"EL DORADO",UNINCORPORATED,2015
90355033,1,1,1,M,57,2,1,L,G,0,"EL DORADO",UNINCORPORATED,2016
90355033,1,2,2,M,18,3,3,L,G,0,"EL DORADO",UNINCORPORATED,2016
90355033,1,3,2,M,21,3,4,L,G,0,"EL DORADO",UNINCORPORATED,2016
90557168,1,1,1,M,32,2,1,P,H,0,"EL DORADO",UNINCORPORATED,2017
81739721,2,1,1,F,56,5,1,M,G,0,"EL DORADO","SOUTH LAKE TAHOE",2022
91138122,1,1,1,F,28,6,1,L,G,0,"EL DORADO",UNINCORPORATED,2019
91138122,2,1,1,F,65,7,1,M,G,0,"EL DORADO",UNINCORPORATED,2019
91138122,3,1,2,F,79,5,3,L,G,0,"EL DORADO",UNINCORPORATED,2019
91138122,3,2,1,M,80,7,1,L,G,0,"EL DORADO",UNINCORPORATED,2019
6292523,1,1,1,M,73,2,1,L,G,0,"EL DORADO",UNINCORPORATED,2015
6292523,2,1,1,M,78,1,1,L,G,0,"EL DORADO",UNINCORPORATED,2015
90026444,1,1,1,M,71,2,1,P,W,1,"EL DORADO",UNINCORPORATED,2015
90205278,1,1,1,M,61,2,1,P,W,1,"EL DORADO",UNINCORPORATED,2016
90249990,1,1,1,M,59,2,1,M,G,1,"EL DORADO",UNINCORPORATED,2016
91075526,1,1,1,F,72,5,1,L,G,0,"EL DORADO",UNINCORPORATED,2019
90078068,1,1,1,F,44,1,1,M,G,0,"EL DORADO",UNINCORPORATED,2015
90078068,2,1,1,M,39,4,1,L,G,0,"EL DORADO",UNINCORPORATED,2015
91265608,1,1,1,M,47,5,1,P,W,1,"EL DORADO",UNINCORPORATED,2020
92313974,1,1,1,F,28,1,1,L,G,0,"EL DORADO",UNINCORPORATED,2023
92313974,2,1,2,M,9,6,4,L,G,0,"EL DORADO",UNINCORPORATED,2023
92313974,2,2,2,F,12,6,6,L,G,0,"EL DORADO",UNINCORPORATED,2023
92313974,2,3,2,M,69,5,3,L,G,0,"EL DORADO",UNINCORPORATED,2023
92313974,2,4,1,F,64,5,1,L,G,0,"EL DORADO",UNINCORPORATED,2023
6695731,1,1,1,M,46,2,1,P,W,2,"EL DORADO",UNINCORPORATED,2014
90257949,2,1,4,M,50,2,1,-,W,1,"EL DORADO",UNINCORPORATED,2016
94736374,1,1,1,M,73,5,1,P,W,1,"EL DORADO",UNINCORPORATED,2025
6517553,2,1,1,M,34,2,1,P,W,1,"EL DORADO",UNINCORPORATED,2014
82185226,2,1,4,M,55,5,1,-,-,1,"EL DORADO","SOUTH LAKE TAHOE",2023
90862993,1,1,1,M,25,5,1,P,W,1,"EL DORADO",UNINCORPORATED,2018
91491111,1,1,1,M,31,5,1,P,W,1,"EL DORADO",UNINCORPORATED,2021
6567775,1,1,1,M,22,3,1,L,G,0,"EL DORADO",UNINCORPORATED,2014
6567775,2,1,1,F,56,2,1,L,G,0,"EL DORADO",UNINCORPORATED,2014
90091172,1,1,3,F,48,2,9,-,-,0,"EL DORADO",UNINCORPORATED,2015
90496315,1,1,1,M,59,2,1,M,G,0,"EL DORADO",UNINCORPORATED,2017
92316111,1,1,1,M,16,5,1,L,G,0,"EL DORADO",UNINCORPORATED,2024
94392703,1,1,1,M,23,5,1,P,W,1,"EL DORADO",UNINCORPORATED,2024
6718128,2,1,1,M,47,1,1,P,W,1,"EL DORADO",UNINCORPORATED,2014
6718128,2,2,2,F,48,1,2,P,Y,1,"EL DORADO",UNINCORPORATED,2014
8465630,1,1,4,M,33,1,1,P,V,1,"EL DORADO","SOUTH LAKE TAHOE",2018
90241248,1,1,1,M,61,2,1,P,W,0,"EL DORADO",UNINCORPORATED,2016
90241248,2,1,2,F,39,0,3,M,G,0,"EL DORADO",UNINCORPORATED,2016
90241248,2,2,2,F,4,0,4,P,Q,0,"EL DORADO",UNINCORPORATED,2016
90241248,2,3,2,F,9,0,5,P,G,0,"EL DORADO",UNINCORPORATED,2016
90241248,2,4,2,M,7,0,6,P,G,0,"EL DORADO",UNINCORPORATED,2016
90607868,1,1,1,M,60,5,1,P,G,0,"EL DORADO",UNINCORPORATED,2017
91415433,1,1,1,M,39,5,1,P,W,1,"EL DORADO",UNINCORPORATED,2021
91503183,1,1,1,F,36,5,1,P,W,1,"EL DORADO",UNINCORPORATED,2021
91579270,1,1,1,M,20,1,1,L,G,0,"EL DORADO",UNINCORPORATED,2021
91695830,1,1,1,F,21,5,1,L,G,0,"EL DORADO",UNINCORPORATED,2022
