CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8014174,2,1,3,F,33,2,0,P,-,0,FRESNO,FRESNO,2015
9786308,1,1,2,F,28,0,-,-,-,-,FRESNO,FRESNO,2024
9786308,1,2,1,M,29,6,1,L,G,0,FRESNO,FRESNO,2024
9786308,2,1,1,M,68,1,1,P,W,1,FRESNO,FRESNO,2024
9786311,1,1,3,M,52,1,-,P,-,-,FRESNO,FRESNO,2024
81544095,1,1,3,F,42,5,9,-,-,-,FRESNO,FRESNO,2021
81951862,1,1,1,-,998,1,1,L,G,0,FRESNO,FRESNO,2022
90523833,1,1,1,M,25,1,1,L,H,1,FRESNO,FRESNO,2017
91938636,1,1,1,M,41,5,1,L,G,0,FRESNO,UNINCORPORATED,2022
92081682,2,1,3,M,30,1,0,-,-,0,FRESNO,UNINCORPORATED,2023
90951520,1,1,1,M,40,5,1,P,G,0,FRESNO,UNINCORPORATED,2019
90951520,2,1,1,M,37,7,1,P,G,0,FRESNO,UNINCORPORATED,2019
90951520,2,2,2,M,35,7,8,P,P,0,FRESNO,UNINCORPORATED,2019
91230073,1,1,1,M,31,5,1,L,H,0,FRESNO,CLOVIS,2020
91308571,1,1,1,M,46,5,1,L,H,2,FRESNO,FOWLER,2020
91720918,1,1,1,M,23,5,1,L,G,0,FRESNO,UNINCORPORATED,2022
91720918,1,2,2,F,28,7,3,L,G,0,FRESNO,UNINCORPORATED,2022
91720918,2,1,1,M,32,6,1,L,G,0,FRESNO,UNINCORPORATED,2022
91720918,2,2,2,M,30,6,3,L,G,0,FRESNO,UNINCORPORATED,2022
91758602,1,1,1,M,27,5,1,L,G,0,FRESNO,UNINCORPORATED,2022
91758602,1,2,2,M,23,5,3,L,G,0,FRESNO,UNINCORPORATED,2022
91924621,1,1,1,F,41,5,1,L,G,0,FRESNO,UNINCORPORATED,2022
91924621,2,1,2,F,42,6,3,M,G,0,FRESNO,UNINCORPORATED,2022
91924621,2,2,2,F,11,6,6,P,G,0,FRESNO,UNINCORPORATED,2022
91924621,2,3,1,M,33,5,1,L,G,0,FRESNO,UNINCORPORATED,2022
6482822,1,1,1,F,22,3,1,M,G,0,FRESNO,FRESNO,2014
6482822,2,1,3,M,24,2,0,P,-,0,FRESNO,FRESNO,2014
6946696,1,1,1,M,26,3,1,L,G,0,FRESNO,UNINCORPORATED,2015
6946696,1,2,2,M,26,2,3,L,G,0,FRESNO,UNINCORPORATED,2015
6946696,1,3,2,M,26,2,6,P,B,1,FRESNO,UNINCORPORATED,2015
6946696,2,1,1,M,22,4,1,L,G,0,FRESNO,UNINCORPORATED,2015
6946696,2,2,2,F,21,4,3,L,G,0,FRESNO,UNINCORPORATED,2015
8282103,2,1,3,M,16,2,9,-,-,0,FRESNO,KINGSBURG,2016
8527644,2,1,3,M,35,2,9,-,-,3,FRESNO,PARLIER,2017
8648110,1,1,2,M,5,2,6,P,G,3,FRESNO,"ORANGE COVE",2018
8648110,1,2,1,F,34,1,1,M,G,3,FRESNO,"ORANGE COVE",2018
8648110,2,1,1,M,32,4,1,L,G,3,FRESNO,"ORANGE COVE",2018
84559022,2,1,3,F,9,5,9,-,P,-,FRESNO,FRESNO,2024
90271231,1,1,1,F,54,2,1,L,G,0,FRESNO,FRESNO,2016
90271231,2,1,1,M,26,3,1,M,G,0,FRESNO,FRESNO,2016
90271231,2,2,2,M,55,3,7,P,G,0,FRESNO,FRESNO,2016
90271231,3,1,2,M,95,0,3,M,G,0,FRESNO,FRESNO,2016
90338031,1,1,1,M,27,2,1,P,W,1,FRESNO,UNINCORPORATED,2016
90338031,2,1,2,F,41,0,3,M,G,0,FRESNO,UNINCORPORATED,2016
91704492,1,1,1,M,44,1,1,M,G,2,FRESNO,UNINCORPORATED,2021
92073005,2,1,1,M,35,1,1,P,W,1,FRESNO,UNINCORPORATED,2022
6291206,1,1,1,F,44,2,1,M,G,0,FRESNO,UNINCORPORATED,2014
6291206,1,2,2,F,36,2,3,M,G,0,FRESNO,UNINCORPORATED,2014
6291206,1,3,2,F,56,1,4,P,H,1,FRESNO,UNINCORPORATED,2014
6291206,1,4,2,F,9,4,5,P,G,0,FRESNO,UNINCORPORATED,2014
6291206,1,5,2,M,1,0,5,P,Q,0,FRESNO,UNINCORPORATED,2014
6291206,1,6,2,F,39,2,6,P,H,1,FRESNO,UNINCORPORATED,2014
6550274,1,1,2,F,15,3,3,M,G,0,FRESNO,UNINCORPORATED,2014
