CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
91995436,1,1,1,F,72,1,1,L,G,1,GLENN,UNINCORPORATED,2022
91523366,1,1,1,F,43,5,1,L,G,0,GLENN,UNINCORPORATED,2021
91523366,2,1,1,M,22,5,1,L,G,0,GLENN,UNINCORPORATED,2021
91699030,1,1,1,M,68,5,1,L,H,0,GLENN,UNINCORPORATED,2022
9254881,1,1,4,M,44,5,1,P,-,1,GLENN,ORLAND,2021
91158931,1,1,1,F,25,5,1,M,H,0,GLENN,UNINCORPORATED,2019
91790394,1,1,1,F,48,5,1,P,W,1,GLENN,UNINCORPORATED,2022
94590697,1,1,2,M,45,1,3,L,H,0,GLENN,UNINCORPORATED,2024
94590697,1,2,1,M,44,1,1,L,H,0,GLENN,UNINCORPORATED,2024
90246558,1,1,1,F,35,1,1,P,H,1,GLENN,UNINCORPORATED,2016
90246558,1,2,2,M,45,3,3,P,H,0,GLENN,UNINCORPORATED,2016
91290522,1,1,1,M,30,6,1,L,G,0,GLENN,UNINCORPORATED,2020
91290522,1,2,2,F,33,5,3,L,H,1,GLENN,UNINCORPORATED,2020
91509231,1,1,1,F,26,1,1,L,H,1,GLENN,WILLOWS,2020
8787016,1,1,4,M,82,2,1,P,W,1,GLENN,ORLAND,2018
9151090,1,1,1,M,16,5,1,L,G,0,GLENN,ORLAND,2020
9151090,2,1,1,F,47,6,1,L,G,0,GLENN,ORLAND,2020
9151090,2,2,2,F,18,0,3,L,G,0,GLENN,ORLAND,2020
9151090,2,3,2,M,17,6,6,P,G,0,GLENN,ORLAND,2020
9151090,2,4,2,F,9,6,4,P,G,0,GLENN,ORLAND,2020
90855657,1,1,1,M,18,5,1,L,G,0,GLENN,UNINCORPORATED,2018
91715470,1,1,1,F,28,5,1,L,G,0,GLENN,UNINCORPORATED,2022
92025290,1,1,1,M,25,1,1,M,H,0,GLENN,UNINCORPORATED,2022
6363418,1,1,1,M,78,2,1,M,G,3,GLENN,ORLAND,2014
94374226,2,1,1,F,73,5,1,L,G,0,GLENN,UNINCORPORATED,2024
91613506,1,1,1,M,49,5,1,M,G,0,GLENN,UNINCORPORATED,2021
91720815,1,1,1,M,65,5,1,L,H,0,GLENN,UNINCORPORATED,2022
94816170,1,1,1,M,23,1,1,M,H,1,GLENN,UNINCORPORATED,2025
6931792,1,1,1,M,22,2,1,M,B,0,GLENN,UNINCORPORATED,2015
6931792,1,2,2,F,22,3,3,M,G,0,GLENN,UNINCORPORATED,2015
6931792,1,3,2,F,0,0,4,M,Q,0,GLENN,UNINCORPORATED,2015
91084214,1,1,1,M,29,5,1,L,G,0,GLENN,UNINCORPORATED,2019
91084214,2,1,1,M,29,7,1,M,G,0,GLENN,UNINCORPORATED,2019
94422668,1,1,1,M,65,5,1,M,H,0,GLENN,UNINCORPORATED,2024
94422668,2,1,1,M,71,6,1,L,G,0,GLENN,UNINCORPORATED,2024
90352280,1,1,1,M,17,1,1,M,G,0,GLENN,UNINCORPORATED,2016
90352280,1,2,2,M,36,1,4,P,H,1,GLENN,UNINCORPORATED,2016
90352280,1,3,2,M,6,4,5,P,G,0,GLENN,UNINCORPORATED,2016
90352280,1,4,2,M,28,4,3,M,G,0,GLENN,UNINCORPORATED,2016
91626499,1,1,1,F,60,5,1,L,G,0,GLENN,UNINCORPORATED,2021
91567725,1,1,1,M,32,5,1,L,G,0,GLENN,UNINCORPORATED,2021
8462926,2,1,2,F,22,4,3,M,G,0,GLENN,ORLAND,2017
8462926,2,2,1,F,36,2,1,M,G,0,GLENN,ORLAND,2017
91262183,1,1,1,M,18,5,1,L,G,0,GLENN,UNINCORPORATED,2020
91331693,1,1,1,M,64,5,1,P,W,1,GLENN,UNINCORPORATED,2020
92314007,2,1,3,M,39,1,9,-,-,-,GLENN,UNINCORPORATED,2023
9149583,1,1,4,M,72,5,1,P,-,1,GLENN,ORLAND,2020
90079105,1,1,1,F,29,1,1,B,G,0,GLENN,UNINCORPORATED,2015
90755282,1,1,1,F,57,1,1,M,H,1,GLENN,UNINCORPORATED,2018
91707009,1,1,1,M,39,1,1,L,G,0,GLENN,ORLAND,2021
92259180,1,1,1,M,59,1,1,M,G,0,GLENN,UNINCORPORATED,2023
92259180,1,2,2,M,74,1,4,M,H,1,GLENN,UNINCORPORATED,2023
92259180,1,3,2,M,48,1,6,M,H,1,GLENN,UNINCORPORATED,2023
