CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6854622,1,1,2,M,55,1,3,L,B,3,HUMBOLDT,UNINCORPORATED,2015
6854622,1,2,1,F,54,2,1,L,G,0,HUMBOLDT,UNINCORPORATED,2015
6903307,1,1,1,M,26,2,1,M,G,0,HUMBOLDT,UNINCORPORATED,2015
90685569,1,1,1,M,49,1,1,L,G,0,HUMBOLDT,UNINCORPORATED,2017
91396075,1,1,3,M,40,1,0,-,-,0,HUMBOLDT,UNINCORPORATED,2020
92442775,1,1,2,M,39,5,3,L,G,0,HUMBOLDT,UNINCORPORATED,2024
92442775,1,2,1,F,33,5,1,L,G,0,HUMBOLDT,UNINCORPORATED,2024
92444359,1,1,1,M,23,5,1,L,G,0,HUMBOLDT,UNINCORPORATED,2024
6961178,1,1,1,M,38,4,1,L,G,0,HUMBOLDT,UNINCORPORATED,2015
6961178,1,2,2,F,38,4,3,L,G,0,HUMBOLDT,UNINCORPORATED,2015
6961178,1,3,2,M,12,4,4,P,G,0,HUMBOLDT,UNINCORPORATED,2015
6961178,1,4,2,M,7,2,6,P,Q,0,HUMBOLDT,UNINCORPORATED,2015
8447933,1,1,2,M,64,0,3,M,G,0,HUMBOLDT,EUREKA,2017
8447933,2,1,3,F,31,2,9,-,-,3,HUMBOLDT,EUREKA,2017
8447933,3,1,3,M,39,3,9,-,-,3,HUMBOLDT,EUREKA,2017
9209555,1,1,2,F,21,6,3,L,H,0,HUMBOLDT,EUREKA,2020
9209555,1,2,1,M,29,5,1,L,H,0,HUMBOLDT,EUREKA,2020
90512887,1,1,1,M,60,2,1,M,W,1,HUMBOLDT,UNINCORPORATED,2017
91256670,1,1,1,M,70,5,1,L,G,0,HUMBOLDT,UNINCORPORATED,2020
91803098,1,1,1,M,26,5,1,L,G,0,HUMBOLDT,UNINCORPORATED,2022
92124839,1,1,1,M,44,5,1,L,H,0,HUMBOLDT,UNINCORPORATED,2023
92242729,1,1,1,F,61,5,1,L,G,0,HUMBOLDT,UNINCORPORATED,2023
94716697,1,1,1,M,30,5,1,L,G,0,HUMBOLDT,UNINCORPORATED,2025
81927615,2,1,3,M,73,5,9,P,P,0,HUMBOLDT,EUREKA,2022
90116398,1,1,1,F,21,2,1,M,G,0,HUMBOLDT,UNINCORPORATED,2016
92001647,1,1,1,M,59,1,1,L,G,0,HUMBOLDT,UNINCORPORATED,2023
6840261,1,1,2,M,59,2,5,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,2,2,F,54,3,2,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,3,2,M,40,4,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,4,2,F,15,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,5,2,F,17,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,6,2,F,15,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,7,2,M,18,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,8,2,M,16,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,9,2,M,46,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,10,2,M,19,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,11,2,M,24,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,12,2,F,36,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6840261,1,13,2,M,64,0,9,P,H,0,HUMBOLDT,UNINCORPORATED,2015
6876269,1,1,2,M,26,0,3,M,G,0,HUMBOLDT,UNINCORPORATED,2015
6876269,2,1,2,F,46,2,4,M,G,0,HUMBOLDT,UNINCORPORATED,2015
84572043,2,1,1,M,68,5,1,P,P,1,HUMBOLDT,EUREKA,2025
90528297,1,1,1,M,20,2,1,P,W,1,HUMBOLDT,UNINCORPORATED,2017
91021780,1,1,1,F,80,5,1,L,G,0,HUMBOLDT,UNINCORPORATED,2019
