CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
7198486,2,1,3,M,68,2,9,-,-,3,IMPERIAL,CALEXICO,2015
90175074,1,1,1,M,38,2,1,M,G,0,IMPERIAL,UNINCORPORATED,2016
90175074,1,2,2,F,33,3,3,M,G,0,IMPERIAL,UNINCORPORATED,2016
91167069,1,1,2,M,62,1,6,L,G,0,IMPERIAL,UNINCORPORATED,2020
91167069,1,2,2,M,2,5,4,L,T,1,IMPERIAL,UNINCORPORATED,2020
91167069,1,3,2,F,56,5,3,L,G,0,IMPERIAL,UNINCORPORATED,2020
91167069,1,4,1,F,27,6,1,L,G,0,IMPERIAL,UNINCORPORATED,2020
91167069,2,1,1,F,32,6,1,L,G,0,IMPERIAL,UNINCORPORATED,2020
91593137,1,1,2,M,38,5,6,P,G,0,IMPERIAL,UNINCORPORATED,2021
91593137,1,2,1,M,20,5,1,M,H,0,IMPERIAL,UNINCORPORATED,2021
91593137,2,1,1,M,46,7,1,L,G,0,IMPERIAL,UNINCORPORATED,2021
91593137,2,2,2,M,42,7,3,L,H,0,IMPERIAL,UNINCORPORATED,2021
94635792,1,1,1,M,95,1,1,L,G,0,IMPERIAL,UNINCORPORATED,2025
94635792,2,1,1,M,22,6,1,L,G,0,IMPERIAL,UNINCORPORATED,2025
94635792,3,1,1,M,68,6,1,L,G,0,IMPERIAL,UNINCORPORATED,2025
94684343,2,1,5,M,30,5,0,P,D,1,IMPERIAL,UNINCORPORATED,2025
90048711,1,1,1,M,47,2,1,L,G,0,IMPERIAL,UNINCORPORATED,2015
90362839,1,1,1,M,34,1,1,M,G,0,IMPERIAL,UNINCORPORATED,2016
91045706,1,1,1,M,30,1,1,M,G,1,IMPERIAL,UNINCORPORATED,2019
91414407,2,1,4,M,27,5,9,-,V,1,IMPERIAL,UNINCORPORATED,2021
