CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6393664,1,1,1,M,48,2,1,P,W,1,KERN,UNINCORPORATED,2014
6660150,2,1,3,M,27,2,9,-,-,3,KERN,UNINCORPORATED,2014
6749180,1,1,1,M,24,2,1,M,H,0,KERN,UNINCORPORATED,2014
9102867,1,1,1,-,21,2,1,L,B,0,KERN,WASCO,2020
9102867,2,1,1,-,72,3,1,M,G,0,KERN,WASCO,2020
9176680,2,1,1,F,22,5,1,L,G,0,KERN,TAFT,2020
81575107,1,1,1,M,62,5,1,L,G,0,KERN,BAKERSFIELD,2021
81575107,2,1,1,M,34,5,1,L,G,0,KERN,BAKERSFIELD,2021
92057025,1,1,2,M,28,5,3,L,G,0,KERN,UNINCORPORATED,2023
92057025,1,2,1,M,27,1,1,L,G,0,KERN,UNINCORPORATED,2023
94419220,2,1,3,M,59,5,9,-,-,-,KERN,UNINCORPORATED,2024
94652204,2,1,3,M,36,5,9,-,-,-,KERN,UNINCORPORATED,2025
91134702,1,1,1,M,41,5,1,M,G,0,KERN,UNINCORPORATED,2019
91267276,1,1,3,F,91,1,0,-,-,-,KERN,UNINCORPORATED,2020
91350121,1,1,1,M,36,1,1,P,W,1,KERN,UNINCORPORATED,2020
91390441,1,1,1,M,44,1,1,L,H,1,KERN,UNINCORPORATED,2020
91808563,1,1,1,M,25,5,1,L,G,0,KERN,UNINCORPORATED,2022
91943376,1,1,3,M,27,1,0,-,-,0,KERN,UNINCORPORATED,2022
82265555,2,1,1,F,28,6,1,M,G,0,KERN,BAKERSFIELD,2023
82265555,2,2,2,M,32,7,3,M,G,0,KERN,BAKERSFIELD,2023
82265555,2,3,2,F,5,5,4,M,Q,2,KERN,BAKERSFIELD,2023
82265555,2,4,2,F,0,7,5,M,Q,0,KERN,BAKERSFIELD,2023
82265555,2,5,2,F,12,6,6,M,G,0,KERN,BAKERSFIELD,2023
82265555,2,6,2,F,9,6,9,M,G,0,KERN,BAKERSFIELD,2023
84429068,1,1,1,M,46,5,1,L,G,0,KERN,BAKERSFIELD,2024
84434169,2,1,2,M,37,5,1,M,-,0,KERN,BAKERSFIELD,2024
90214502,1,1,2,M,16,2,3,M,G,0,KERN,UNINCORPORATED,2016
90680140,1,1,1,M,23,6,1,L,G,0,KERN,UNINCORPORATED,2018
90680140,1,2,2,F,21,6,3,L,G,0,KERN,UNINCORPORATED,2018
90680140,2,1,1,M,64,1,1,L,G,0,KERN,UNINCORPORATED,2018
90872746,1,1,1,M,23,6,1,L,G,0,KERN,UNINCORPORATED,2018
90872746,1,2,2,F,23,5,3,L,G,0,KERN,UNINCORPORATED,2018
7008461,1,1,1,M,75,2,1,L,G,0,KERN,DELANO,2015
7008461,2,1,2,F,53,4,7,P,G,0,KERN,DELANO,2015
7008461,2,2,2,F,23,0,3,M,G,0,KERN,DELANO,2015
7008461,2,3,2,F,49,0,7,P,G,0,KERN,DELANO,2015
7008461,2,4,2,M,50,0,5,P,G,0,KERN,DELANO,2015
8048394,1,1,1,-,31,2,9,-,-,0,KERN,WASCO,2016
8310124,1,1,2,M,19,0,3,M,G,0,KERN,BAKERSFIELD,2017
8310124,2,1,1,M,64,2,1,M,B,0,KERN,BAKERSFIELD,2017
9313795,1,1,1,F,4,5,1,L,B,0,KERN,WASCO,2021
9826631,1,1,2,M,22,7,5,L,G,0,KERN,SHAFTER,2025
9826631,1,2,2,F,21,7,6,M,B,0,KERN,SHAFTER,2025
9826631,1,3,2,M,28,5,4,M,B,0,KERN,SHAFTER,2025
9826631,1,4,2,M,13,6,3,M,B,0,KERN,SHAFTER,2025
9826631,1,5,1,M,28,7,1,L,G,0,KERN,SHAFTER,2025
9826631,2,1,1,M,31,6,1,L,G,0,KERN,SHAFTER,2025
80993524,1,1,1,M,23,5,1,L,D,1,KERN,BAKERSFIELD,2019
94773781,1,1,1,M,22,1,1,P,W,1,KERN,UNINCORPORATED,2025
91924265,1,1,3,F,35,1,0,-,-,-,KERN,BAKERSFIELD,2022
92022165,1,1,1,M,28,5,1,P,W,1,KERN,UNINCORPORATED,2023
92436124,1,1,1,M,35,5,1,P,W,1,KERN,UNINCORPORATED,2024
94587793,1,1,2,F,21,5,3,M,G,0,KERN,UNINCORPORATED,2025
94666239,1,1,2,F,18,7,6,L,G,0,KERN,UNINCORPORATED,2025
94666239,1,2,1,F,21,7,1,L,G,0,KERN,UNINCORPORATED,2025
94666239,1,3,2,M,20,5,3,L,G,0,KERN,UNINCORPORATED,2025
94749233,1,1,1,M,36,5,1,M,G,0,KERN,UNINCORPORATED,2025
94749233,2,1,1,M,19,5,1,M,G,0,KERN,UNINCORPORATED,2025
90549334,1,1,3,F,60,2,9,-,-,-,KERN,UNINCORPORATED,2017
90884275,1,1,1,M,32,5,1,L,G,0,KERN,UNINCORPORATED,2018
91297097,1,1,1,M,73,5,1,L,H,0,KERN,UNINCORPORATED,2020
91588023,2,1,3,M,42,1,0,-,P,0,KERN,UNINCORPORATED,2021
91598632,1,1,1,M,31,6,1,M,G,0,KERN,UNINCORPORATED,2021
91598632,1,2,2,M,38,6,6,P,G,0,KERN,UNINCORPORATED,2021
91598632,2,1,1,M,27,1,1,P,W,1,KERN,UNINCORPORATED,2021
