CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6854046,1,1,1,M,58,1,1,M,G,0,KINGS,UNINCORPORATED,2015
8311009,1,1,1,M,29,2,1,L,G,0,KINGS,AVENAL,2017
94449201,1,1,1,M,48,7,1,L,G,0,KINGS,UNINCORPORATED,2024
94449201,2,1,2,F,17,5,3,L,G,0,KINGS,UNINCORPORATED,2024
94449201,2,2,1,F,39,5,1,L,G,0,KINGS,UNINCORPORATED,2024
94449201,2,3,2,F,15,5,B,L,H,0,KINGS,UNINCORPORATED,2024
9336147,2,1,3,F,59,5,0,P,-,0,KINGS,HANFORD,2021
91028673,1,1,1,M,36,5,1,P,W,1,KINGS,UNINCORPORATED,2019
91170649,1,1,1,M,32,1,1,P,W,1,KINGS,UNINCORPORATED,2019
91596700,1,1,1,M,41,1,1,M,G,0,KINGS,UNINCORPORATED,2021
91977309,1,1,3,M,46,1,9,-,-,-,KINGS,UNINCORPORATED,2022
91977309,2,1,2,F,40,6,3,M,G,0,KINGS,UNINCORPORATED,2022
9045630,1,1,3,M,55,5,9,P,-,0,KINGS,HANFORD,2019
9676393,1,1,2,M,33,5,3,L,G,0,KINGS,CORCORAN,2023
91250942,1,1,1,F,33,5,1,M,G,0,KINGS,UNINCORPORATED,2020
91314355,2,1,1,M,51,1,1,P,W,1,KINGS,UNINCORPORATED,2020
9505856,2,1,3,F,18,2,-,-,-,0,KINGS,LEMOORE,2022
9746114,1,1,1,F,22,7,1,L,G,0,KINGS,HANFORD,2024
9746114,2,1,1,M,46,5,1,N,W,1,KINGS,HANFORD,2024
90012226,1,1,1,M,82,2,1,L,G,0,KINGS,UNINCORPORATED,2015
90012226,1,2,2,M,29,2,3,L,G,0,KINGS,UNINCORPORATED,2015
