CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
90981338,1,1,1,M,27,5,1,L,G,0,LASSEN,UNINCORPORATED,2019
90981338,2,1,1,M,40,1,1,L,G,0,LASSEN,UNINCORPORATED,2019
92139015,1,1,1,M,38,1,1,L,H,0,LASSEN,UNINCORPORATED,2022
92139015,2,1,1,F,50,5,1,L,G,0,LASSEN,UNINCORPORATED,2022
92139015,2,2,2,M,50,5,3,L,G,0,LASSEN,UNINCORPORATED,2022
92023309,1,1,1,M,59,6,1,P,G,0,LASSEN,UNINCORPORATED,2023
92023309,1,2,2,M,34,5,8,P,P,0,LASSEN,UNINCORPORATED,2023
6895726,1,1,1,F,65,2,1,L,G,0,LASSEN,UNINCORPORATED,2015
90304492,1,1,1,M,27,2,1,L,G,0,LASSEN,UNINCORPORATED,2016
91425315,1,1,1,F,20,5,1,L,G,0,LASSEN,UNINCORPORATED,2021
91425315,1,2,2,M,19,5,3,L,G,0,LASSEN,UNINCORPORATED,2021
91425315,1,3,2,M,16,5,4,L,G,0,LASSEN,UNINCORPORATED,2021
91425315,1,4,2,M,24,5,6,L,H,0,LASSEN,UNINCORPORATED,2021
91566742,1,1,1,F,43,1,1,M,G,0,LASSEN,UNINCORPORATED,2021
92007219,1,1,1,M,69,5,1,M,G,0,LASSEN,UNINCORPORATED,2023
6459145,1,1,1,M,25,2,1,P,W,1,LASSEN,UNINCORPORATED,2014
92173381,1,1,1,M,62,5,1,P,W,1,LASSEN,UNINCORPORATED,2023
92381377,1,1,1,F,47,5,1,M,H,0,LASSEN,UNINCORPORATED,2024
90591849,1,1,1,M,57,5,1,P,H,1,LASSEN,UNINCORPORATED,2017
91512756,1,1,2,F,24,5,3,M,E,1,LASSEN,SUSANVILLE,2021
91512756,1,2,2,F,32,5,5,P,A,0,LASSEN,SUSANVILLE,2021
91512756,1,3,2,M,33,6,4,P,G,0,LASSEN,SUSANVILLE,2021
