CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
90009784,1,1,1,M,62,2,1,P,W,1,MARIN,UNINCORPORATED,2015
91508653,1,1,4,M,49,5,0,P,W,1,MARIN,UNINCORPORATED,2021
92204589,1,1,1,M,45,5,1,P,W,0,MARIN,UNINCORPORATED,2023
6594632,2,1,3,M,22,2,9,-,-,3,MARIN,"SAN RAFAEL",2014
9165857,2,1,4,M,44,5,1,P,W,1,MARIN,ROSS,2020
90132754,1,1,4,M,60,2,1,-,W,0,MARIN,SAUSALITO,2016
90132754,2,1,4,M,37,3,1,-,W,0,MARIN,SAUSALITO,2016
90742079,2,1,1,F,29,5,1,P,W,1,MARIN,"CORTE MADERA",2018
90840665,1,1,4,F,62,5,1,-,W,1,MARIN,UNINCORPORATED,2018
91965861,1,1,1,M,27,5,1,M,G,0,MARIN,UNINCORPORATED,2023
6811989,1,1,4,M,58,2,1,P,W,1,MARIN,UNINCORPORATED,2015
7010965,1,1,4,F,57,2,1,P,W,1,MARIN,UNINCORPORATED,2015
84703049,1,1,4,F,64,5,9,P,W,1,MARIN,"SAN RAFAEL",2025
91236462,2,1,1,M,46,5,1,P,W,0,MARIN,UNINCORPORATED,2020
94512721,2,1,3,F,71,5,0,-,-,-,MARIN,UNINCORPORATED,2024
91379427,1,1,1,F,18,5,1,L,G,0,MARIN,SAUSALITO,2020
91792911,1,1,4,M,69,5,0,P,W,0,MARIN,UNINCORPORATED,2022
6587439,2,1,4,M,60,2,1,W,-,1,MARIN,FAIRFAX,2014
8672760,1,1,2,F,10,0,6,M,G,0,MARIN,NOVATO,2018
8672760,2,1,3,M,10,2,9,-,-,3,MARIN,NOVATO,2018
9320421,2,1,3,M,42,1,-,P,-,0,MARIN,"SAN RAFAEL",2021
90916879,2,1,3,F,73,5,9,-,-,-,MARIN,UNINCORPORATED,2019
9157249,2,1,3,M,54,5,-,-,-,-,MARIN,"SAN RAFAEL",2020
9827329,1,1,1,M,38,2,1,P,W,1,MARIN,"MILL VALLEY",2025
91179514,1,1,1,M,49,5,1,P,W,3,MARIN,UNINCORPORATED,2020
93447044,1,1,1,M,20,5,1,L,G,0,MARIN,UNINCORPORATED,2023
93447044,1,2,2,F,19,1,3,L,G,0,MARIN,UNINCORPORATED,2023
93447044,2,1,2,-,20,7,5,M,G,0,MARIN,UNINCORPORATED,2023
94761781,1,1,1,M,67,5,1,P,W,1,MARIN,UNINCORPORATED,2025
6984500,1,1,1,M,33,2,1,B,-,0,MARIN,"SAN ANSELMO",2015
