CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
92241704,1,1,1,M,34,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2023
90198334,1,1,1,M,68,3,1,M,W,2,MARIPOSA,UNINCORPORATED,2016
90198334,1,2,2,F,55,2,2,P,W,2,MARIPOSA,UNINCORPORATED,2016
90978981,1,1,2,F,32,5,3,L,G,0,MARIPOSA,UNINCORPORATED,2019
92082639,1,1,1,F,32,5,1,M,G,0,MARIPOSA,UNINCORPORATED,2023
90699624,1,1,1,M,73,5,1,P,W,2,MARIPOSA,UNINCORPORATED,2018
91200084,1,1,1,M,56,5,1,P,W,0,MARIPOSA,UNINCORPORATED,2020
92132253,1,1,1,M,18,1,1,L,H,0,MARIPOSA,UNINCORPORATED,2023
92132253,1,2,2,M,15,5,3,L,G,0,MARIPOSA,UNINCORPORATED,2023
90034923,1,1,1,F,55,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2015
91409877,1,1,1,M,62,5,1,L,H,0,MARIPOSA,UNINCORPORATED,2021
91386546,1,1,1,F,19,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2021
91457890,1,1,1,M,62,5,1,P,P,1,MARIPOSA,UNINCORPORATED,2021
91811517,1,1,1,M,33,1,1,P,W,1,MARIPOSA,UNINCORPORATED,2022
91811517,2,1,1,F,66,7,1,L,G,0,MARIPOSA,UNINCORPORATED,2022
92265126,1,1,1,M,49,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2023
91134740,1,1,1,F,47,5,1,M,H,0,MARIPOSA,UNINCORPORATED,2019
90639742,1,1,1,M,47,5,1,L,B,0,MARIPOSA,UNINCORPORATED,2018
90639742,3,1,1,F,27,6,1,M,G,0,MARIPOSA,UNINCORPORATED,2018
90639742,3,2,2,F,4,6,4,P,Q,0,MARIPOSA,UNINCORPORATED,2018
90639742,3,3,2,M,1,6,6,P,Q,0,MARIPOSA,UNINCORPORATED,2018
91003303,1,1,1,F,26,1,1,M,H,3,MARIPOSA,UNINCORPORATED,2019
90018357,1,1,1,F,31,4,1,M,G,0,MARIPOSA,UNINCORPORATED,2015
90018357,1,2,2,M,7,2,6,M,Q,0,MARIPOSA,UNINCORPORATED,2015
90018357,1,3,2,F,3,0,4,M,Q,0,MARIPOSA,UNINCORPORATED,2015
90164910,1,1,1,F,31,2,1,L,G,0,MARIPOSA,UNINCORPORATED,2016
90609429,1,1,1,M,44,5,3,P,G,0,MARIPOSA,UNINCORPORATED,2017
91040083,1,1,1,M,41,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2019
92277825,1,1,1,M,26,5,1,B,B,3,MARIPOSA,UNINCORPORATED,2023
90508555,1,1,2,M,36,2,3,P,H,1,MARIPOSA,UNINCORPORATED,2017
90774366,1,1,1,M,19,5,1,P,H,1,MARIPOSA,UNINCORPORATED,2018
91839106,1,1,1,M,33,5,1,M,G,0,MARIPOSA,UNINCORPORATED,2022
91351164,2,1,3,F,46,5,9,-,-,0,MARIPOSA,UNINCORPORATED,2020
91182776,1,1,1,F,63,5,1,L,H,1,MARIPOSA,UNINCORPORATED,2020
91390748,1,1,1,M,39,5,1,M,G,0,MARIPOSA,UNINCORPORATED,2021
91261711,1,1,1,M,60,5,1,M,H,0,MARIPOSA,UNINCORPORATED,2020
91261711,1,2,2,M,63,7,3,M,H,0,MARIPOSA,UNINCORPORATED,2020
92002517,2,1,2,F,998,6,3,L,G,0,MARIPOSA,UNINCORPORATED,2023
92002517,2,2,1,F,49,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2023
92039038,1,1,1,M,31,5,1,M,H,0,MARIPOSA,UNINCORPORATED,2023
92262293,1,1,3,M,24,5,0,P,P,1,MARIPOSA,UNINCORPORATED,2023
91111521,1,1,1,M,56,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2019
91022333,1,1,1,M,55,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2019
91239690,1,1,1,M,46,5,1,L,H,2,MARIPOSA,UNINCORPORATED,2020
91493292,1,1,1,M,51,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2021
91810046,1,1,2,M,21,5,3,M,G,0,MARIPOSA,UNINCORPORATED,2022
91810046,1,2,1,M,20,6,1,L,G,0,MARIPOSA,UNINCORPORATED,2022
7024341,1,1,2,M,26,2,3,L,H,0,MARIPOSA,UNINCORPORATED,2015
91194579,1,1,2,M,36,5,0,P,X,0,MARIPOSA,UNINCORPORATED,2020
91313624,1,1,1,F,54,5,1,P,W,0,MARIPOSA,UNINCORPORATED,2020
91880363,1,1,1,M,40,5,1,P,V,2,MARIPOSA,UNINCORPORATED,2022
90774380,1,1,1,M,48,7,1,M,G,0,MARIPOSA,UNINCORPORATED,2018
90774380,2,1,1,F,87,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2018
91097414,2,1,3,F,73,5,9,-,P,0,MARIPOSA,UNINCORPORATED,2019
6934286,2,1,4,M,62,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2015
90639733,1,1,1,F,58,5,1,M,G,0,MARIPOSA,UNINCORPORATED,2018
6723983,2,1,1,F,51,2,1,L,G,0,MARIPOSA,UNINCORPORATED,2014
90021064,1,1,2,F,46,0,3,M,G,0,MARIPOSA,UNINCORPORATED,2015
90021064,2,1,4,M,61,1,1,-,V,1,MARIPOSA,UNINCORPORATED,2015
6510538,1,1,1,M,74,2,1,P,G,0,MARIPOSA,UNINCORPORATED,2014
6800906,1,1,2,F,52,2,2,P,Y,2,MARIPOSA,UNINCORPORATED,2015
90573499,1,1,1,M,62,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2017
90573499,1,2,2,F,57,5,2,P,Y,1,MARIPOSA,UNINCORPORATED,2017
90246833,1,1,1,M,65,2,1,M,G,0,MARIPOSA,UNINCORPORATED,2016
91492285,2,1,1,M,51,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2021
91743150,1,1,1,M,27,5,1,L,H,0,MARIPOSA,UNINCORPORATED,2022
90257069,1,1,1,M,51,2,1,P,W,0,MARIPOSA,UNINCORPORATED,2016
6290026,1,1,2,M,45,1,6,P,G,0,MARIPOSA,UNINCORPORATED,2014
6290026,1,2,2,M,27,4,3,M,G,0,MARIPOSA,UNINCORPORATED,2014
91102428,2,1,3,M,17,5,9,-,-,-,MARIPOSA,UNINCORPORATED,2019
90449292,1,1,1,M,22,3,1,M,G,0,MARIPOSA,UNINCORPORATED,2017
90449292,1,2,2,F,23,3,3,M,G,0,MARIPOSA,UNINCORPORATED,2017
90449292,1,3,2,M,23,2,5,P,H,1,MARIPOSA,UNINCORPORATED,2017
91454505,1,1,1,M,27,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2021
91825381,1,1,1,M,32,5,1,P,W,0,MARIPOSA,UNINCORPORATED,2022
90043316,1,1,1,M,56,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2015
90309839,1,1,1,M,20,2,1,M,G,0,MARIPOSA,UNINCORPORATED,2016
91341848,1,1,1,M,67,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2020
6673890,1,1,1,M,39,2,1,L,G,0,MARIPOSA,UNINCORPORATED,2014
92074448,1,1,1,F,19,5,1,M,G,0,MARIPOSA,UNINCORPORATED,2023
92074448,1,2,2,F,20,5,4,P,H,0,MARIPOSA,UNINCORPORATED,2023
92074448,1,3,2,M,20,7,3,M,G,0,MARIPOSA,UNINCORPORATED,2023
6604174,1,1,1,M,47,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2014
90879633,1,1,1,M,22,1,1,L,H,1,MARIPOSA,UNINCORPORATED,2018
90879633,1,2,2,M,25,5,3,L,G,0,MARIPOSA,UNINCORPORATED,2018
90526523,1,1,1,M,23,2,1,B,B,3,MARIPOSA,UNINCORPORATED,2017
90538317,1,1,1,M,32,2,1,P,W,0,MARIPOSA,UNINCORPORATED,2017
91469215,1,1,1,F,37,5,1,B,W,1,MARIPOSA,UNINCORPORATED,2021
91469215,2,1,1,M,58,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2021
90994320,1,1,1,M,17,5,1,M,G,0,MARIPOSA,UNINCORPORATED,2019
90994320,1,2,2,F,21,7,3,M,G,0,MARIPOSA,UNINCORPORATED,2019
90994320,1,3,2,M,15,5,6,P,G,0,MARIPOSA,UNINCORPORATED,2019
91482451,1,1,1,M,31,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2021
91757951,2,1,2,M,14,5,0,P,W,0,MARIPOSA,UNINCORPORATED,2022
91757951,2,2,1,M,13,6,1,P,W,0,MARIPOSA,UNINCORPORATED,2022
91256718,1,1,1,M,40,5,1,P,X,1,MARIPOSA,UNINCORPORATED,2020
91125069,1,1,1,M,38,7,1,P,W,1,MARIPOSA,UNINCORPORATED,2019
91125069,1,2,2,F,36,5,2,M,Y,0,MARIPOSA,UNINCORPORATED,2019
91702378,1,1,1,M,20,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2022
91838418,1,1,1,F,61,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2022
91143381,1,1,1,F,24,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2019
91280896,1,1,1,M,65,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2020
91280896,2,1,1,M,33,5,1,P,W,0,MARIPOSA,UNINCORPORATED,2020
90997372,1,1,1,F,27,5,1,L,H,0,MARIPOSA,UNINCORPORATED,2019
90997372,1,2,2,F,28,5,3,L,H,0,MARIPOSA,UNINCORPORATED,2019
90997372,1,3,2,M,15,5,4,L,G,0,MARIPOSA,UNINCORPORATED,2019
90997372,1,4,2,F,9,7,6,L,G,0,MARIPOSA,UNINCORPORATED,2019
91021111,1,1,1,F,34,6,1,L,G,0,MARIPOSA,UNINCORPORATED,2019
91021111,1,2,2,M,31,5,3,L,G,0,MARIPOSA,UNINCORPORATED,2019
90134496,2,1,3,M,60,2,0,-,P,0,MARIPOSA,UNINCORPORATED,2016
91076195,1,1,1,M,40,5,1,P,W,2,MARIPOSA,UNINCORPORATED,2019
91185707,1,1,1,M,53,5,1,P,V,3,MARIPOSA,UNINCORPORATED,2020
90403374,1,1,2,M,59,2,3,M,H,0,MARIPOSA,UNINCORPORATED,2017
90403374,1,2,2,F,34,4,6,M,G,0,MARIPOSA,UNINCORPORATED,2017
90403374,1,3,1,F,56,4,1,M,G,0,MARIPOSA,UNINCORPORATED,2017
90746347,1,1,2,M,64,1,3,N,G,0,MARIPOSA,UNINCORPORATED,2018
91347967,1,1,1,M,46,5,1,M,G,0,MARIPOSA,UNINCORPORATED,2020
92092847,1,1,1,M,56,5,1,P,W,0,MARIPOSA,UNINCORPORATED,2023
90592268,1,1,1,M,80,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2017
6992724,1,1,1,F,30,2,1,M,H,1,MARIPOSA,UNINCORPORATED,2015
94371421,1,1,5,M,57,5,0,-,P,0,MARIPOSA,UNINCORPORATED,2024
91441167,1,1,1,M,49,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2021
91638714,1,1,1,M,63,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2021
91638714,1,2,2,M,17,7,3,P,G,0,MARIPOSA,UNINCORPORATED,2021
91638714,2,1,1,F,25,7,1,L,G,0,MARIPOSA,UNINCORPORATED,2021
91648871,1,1,2,F,29,5,3,L,G,0,MARIPOSA,UNINCORPORATED,2021
94536847,1,1,1,F,50,5,1,M,G,0,MARIPOSA,UNINCORPORATED,2025
92309565,1,1,2,M,33,6,6,P,G,0,MARIPOSA,UNINCORPORATED,2024
92309565,1,2,1,M,31,6,1,L,H,0,MARIPOSA,UNINCORPORATED,2024
92309565,1,3,2,F,23,5,3,L,H,0,MARIPOSA,UNINCORPORATED,2024
92122341,1,1,1,M,42,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2023
92122341,2,1,2,F,48,7,3,L,G,0,MARIPOSA,UNINCORPORATED,2023
92419364,1,1,1,M,71,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2024
92419364,1,2,2,F,69,1,3,L,G,0,MARIPOSA,UNINCORPORATED,2024
92419364,2,1,2,F,17,6,3,L,G,0,MARIPOSA,UNINCORPORATED,2024
91245608,1,1,1,M,50,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2020
91561152,1,1,1,M,24,6,1,L,G,0,MARIPOSA,UNINCORPORATED,2021
91561152,2,1,1,M,80,5,1,L,H,0,MARIPOSA,UNINCORPORATED,2021
91561152,2,2,2,F,61,5,3,L,H,0,MARIPOSA,UNINCORPORATED,2021
91297454,1,1,1,F,35,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2020
91040082,1,1,1,M,36,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2019
91697126,1,1,1,M,42,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2022
90908959,1,1,1,F,70,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2019
90908959,2,1,1,M,29,7,1,L,G,0,MARIPOSA,UNINCORPORATED,2019
91236769,1,1,1,M,54,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2020
6659693,1,1,1,M,36,2,1,M,H,1,MARIPOSA,UNINCORPORATED,2014
91056646,1,1,1,F,55,5,1,M,G,0,MARIPOSA,UNINCORPORATED,2019
90321302,2,1,3,M,58,2,0,-,P,0,MARIPOSA,UNINCORPORATED,2016
90321302,3,1,3,F,95,3,0,-,P,0,MARIPOSA,UNINCORPORATED,2016
91314972,1,1,1,M,60,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2020
90825909,1,1,1,M,45,5,1,P,W,3,MARIPOSA,UNINCORPORATED,2018
90689782,1,1,1,M,56,5,1,L,G,2,MARIPOSA,UNINCORPORATED,2018
91057249,1,1,1,M,63,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2019
91605556,1,1,1,F,32,5,1,M,H,0,MARIPOSA,UNINCORPORATED,2021
6666145,1,1,1,M,86,2,1,M,G,0,MARIPOSA,UNINCORPORATED,2014
90647182,1,1,4,M,38,5,1,-,W,1,MARIPOSA,UNINCORPORATED,2018
91536531,1,1,1,F,39,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2021
91536531,2,1,1,F,60,7,1,M,G,0,MARIPOSA,UNINCORPORATED,2021
90563178,1,1,1,M,55,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2017
92202597,1,1,1,M,51,1,1,P,W,1,MARIPOSA,UNINCORPORATED,2023
90264003,1,1,1,M,55,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2016
91471674,1,1,1,M,17,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2021
90435661,1,1,1,M,28,4,1,M,G,0,MARIPOSA,UNINCORPORATED,2017
90435661,1,2,2,M,30,3,4,M,G,0,MARIPOSA,UNINCORPORATED,2017
90435661,1,3,2,M,27,3,2,M,G,0,MARIPOSA,UNINCORPORATED,2017
90435661,1,4,2,M,33,2,6,M,G,0,MARIPOSA,UNINCORPORATED,2017
90839059,1,1,1,F,40,5,1,L,H,3,MARIPOSA,UNINCORPORATED,2018
5912177,1,1,1,M,78,1,1,L,G,0,MARIPOSA,UNINCORPORATED,2014
5912177,2,1,1,F,82,1,1,P,G,0,MARIPOSA,UNINCORPORATED,2014
91226234,1,1,1,F,51,5,1,M,B,0,MARIPOSA,UNINCORPORATED,2020
91226234,1,2,2,F,58,5,3,M,B,0,MARIPOSA,UNINCORPORATED,2020
94406613,1,1,1,M,38,6,1,M,G,0,MARIPOSA,UNINCORPORATED,2024
94406613,1,2,2,F,46,5,3,M,H,3,MARIPOSA,UNINCORPORATED,2024
90356553,2,1,1,F,49,2,1,L,G,0,MARIPOSA,UNINCORPORATED,2016
90356553,3,1,1,M,61,2,1,L,G,0,MARIPOSA,UNINCORPORATED,2016
91020735,1,1,1,M,44,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2019
6723934,1,1,1,M,51,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2014
90601095,1,1,1,F,28,1,1,M,H,1,MARIPOSA,UNINCORPORATED,2017
90601095,1,2,2,M,5,1,4,P,R,1,MARIPOSA,UNINCORPORATED,2017
90601095,1,3,2,F,9,6,6,P,G,0,MARIPOSA,UNINCORPORATED,2017
91241252,1,1,1,M,62,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2020
91944654,1,1,1,M,41,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2022
6431059,1,1,1,M,21,4,1,M,G,0,MARIPOSA,UNINCORPORATED,2014
6431059,1,2,2,M,20,2,3,M,G,0,MARIPOSA,UNINCORPORATED,2014
6431059,1,3,2,F,21,0,4,P,G,0,MARIPOSA,UNINCORPORATED,2014
6431059,1,4,2,F,20,0,6,P,G,0,MARIPOSA,UNINCORPORATED,2014
90730501,1,1,1,M,88,1,1,L,G,0,MARIPOSA,UNINCORPORATED,2018
6439370,1,1,1,F,45,2,1,L,G,0,MARIPOSA,UNINCORPORATED,2014
90549116,1,1,1,M,48,2,1,P,H,0,MARIPOSA,UNINCORPORATED,2017
91906602,1,1,1,M,62,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2022
91386246,1,1,1,M,22,1,1,B,B,0,MARIPOSA,UNINCORPORATED,2020
91606818,1,1,1,M,61,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2021
92431400,2,1,2,F,17,5,6,M,G,0,MARIPOSA,UNINCORPORATED,2024
92431400,2,2,1,M,50,6,1,L,G,0,MARIPOSA,UNINCORPORATED,2024
92431400,2,3,2,M,16,6,4,M,G,0,MARIPOSA,UNINCORPORATED,2024
92431400,2,4,2,F,46,5,3,L,G,0,MARIPOSA,UNINCORPORATED,2024
92431577,1,1,1,M,37,5,1,L,H,0,MARIPOSA,UNINCORPORATED,2024
6887596,1,1,4,M,14,2,1,P,V,1,MARIPOSA,UNINCORPORATED,2015
90592261,1,1,1,M,63,5,1,L,G,0,MARIPOSA,UNINCORPORATED,2017
91340103,1,1,1,M,71,5,1,P,W,0,MARIPOSA,UNINCORPORATED,2020
92042281,1,1,1,F,68,1,1,L,G,0,MARIPOSA,UNINCORPORATED,2023
92042281,2,1,2,F,80,6,3,M,G,0,MARIPOSA,UNINCORPORATED,2023
92042281,2,2,2,F,51,6,6,M,G,0,MARIPOSA,UNINCORPORATED,2023
90533675,1,1,1,M,37,1,1,L,H,1,MARIPOSA,UNINCORPORATED,2017
90533675,1,2,2,F,37,3,3,L,G,0,MARIPOSA,UNINCORPORATED,2017
6863627,1,1,1,M,39,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2015
90726047,1,1,1,M,68,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2018
90726047,2,1,1,M,63,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2018
94476746,1,1,1,M,22,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2024
90173056,1,1,1,F,47,1,1,L,G,0,MARIPOSA,UNINCORPORATED,2016
90173056,2,1,1,M,56,1,1,L,G,0,MARIPOSA,UNINCORPORATED,2016
90173056,2,2,2,M,48,2,3,L,H,0,MARIPOSA,UNINCORPORATED,2016
91743222,1,1,1,M,59,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2022
91792128,1,1,1,M,41,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2022
90252616,1,1,1,F,56,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2016
90820956,1,1,1,M,60,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2018
92122032,1,1,1,M,28,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2023
90669232,1,1,1,M,49,7,1,L,G,0,MARIPOSA,UNINCORPORATED,2018
90669232,1,2,2,F,48,7,3,L,G,0,MARIPOSA,UNINCORPORATED,2018
90669232,1,3,2,M,80,5,6,L,G,0,MARIPOSA,UNINCORPORATED,2018
90669232,1,4,2,F,73,5,4,L,G,0,MARIPOSA,UNINCORPORATED,2018
91315274,1,1,1,M,41,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2020
91445495,1,1,1,M,53,5,1,P,W,1,MARIPOSA,UNINCORPORATED,2021
6752562,1,1,2,F,21,0,3,L,G,0,MARIPOSA,UNINCORPORATED,2014
6752562,1,2,2,M,19,3,4,P,G,0,MARIPOSA,UNINCORPORATED,2014
6752562,1,3,2,M,23,2,5,P,G,0,MARIPOSA,UNINCORPORATED,2014
6752562,1,4,2,F,19,3,6,P,G,0,MARIPOSA,UNINCORPORATED,2014
6752562,2,1,2,F,24,4,3,L,G,0,MARIPOSA,UNINCORPORATED,2014
6752562,2,2,1,M,34,4,1,L,G,0,MARIPOSA,UNINCORPORATED,2014
90467905,1,1,1,M,62,4,1,L,G,0,MARIPOSA,UNINCORPORATED,2017
90467905,2,1,1,M,31,1,1,L,G,0,MARIPOSA,UNINCORPORATED,2017
90467905,2,2,2,M,69,2,3,L,G,0,MARIPOSA,UNINCORPORATED,2017
5912174,1,1,1,M,63,1,1,M,G,0,MARIPOSA,UNINCORPORATED,2014
5912174,1,2,2,M,3,3,4,M,Q,0,MARIPOSA,UNINCORPORATED,2014
5912174,1,3,2,M,5,3,6,M,Q,0,MARIPOSA,UNINCORPORATED,2014
6291367,1,1,1,M,63,1,1,M,G,2,MARIPOSA,UNINCORPORATED,2014
6571220,1,1,2,M,24,0,3,M,G,0,MARIPOSA,UNINCORPORATED,2014
6571220,1,2,2,M,13,0,4,M,G,0,MARIPOSA,UNINCORPORATED,2014
6571220,1,3,2,M,14,0,5,M,G,0,MARIPOSA,UNINCORPORATED,2014
6571220,1,4,2,F,35,0,6,M,G,0,MARIPOSA,UNINCORPORATED,2014
6571220,2,1,1,M,67,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2014
6571222,1,1,1,M,52,2,1,P,W,1,MARIPOSA,UNINCORPORATED,2014
6571222,1,2,2,F,52,2,2,P,Y,1,MARIPOSA,UNINCORPORATED,2014
6571222,2,1,1,M,45,2,1,L,G,0,MARIPOSA,UNINCORPORATED,2014
6571222,2,2,2,M,50,0,3,L,G,0,MARIPOSA,UNINCORPORATED,2014
6571222,2,3,2,M,49,0,4,L,G,0,MARIPOSA,UNINCORPORATED,2014
6608627,1,1,1,F,24,2,1,P,G,0,MARIPOSA,UNINCORPORATED,2014
6822027,1,1,2,M,998,2,6,M,H,1,MARIPOSA,UNINCORPORATED,2015
6822027,1,2,2,M,22,4,6,M,H,0,MARIPOSA,UNINCORPORATED,2015
6822027,1,3,2,M,26,0,4,M,G,0,MARIPOSA,UNINCORPORATED,2015
6999142,1,1,1,M,25,2,1,L,G,0,MARIPOSA,UNINCORPORATED,2015
90015319,1,1,2,M,39,1,4,L,G,0,MARIPOSA,UNINCORPORATED,2015
90015319,1,2,2,F,27,3,3,L,G,0,MARIPOSA,UNINCORPORATED,2015
90015319,1,3,2,F,22,3,6,L,G,0,MARIPOSA,UNINCORPORATED,2015
