CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
91040868,1,1,1,F,18,5,1,L,G,0,MENDOCINO,UNINCORPORATED,2019
91666395,1,1,1,F,23,5,1,L,G,0,MENDOCINO,UNINCORPORATED,2021
6871284,2,1,2,F,91,2,3,L,G,0,MENDOCINO,UNINCORPORATED,2015
6871284,2,2,1,F,32,3,1,L,G,0,MENDOCINO,UNINCORPORATED,2015
6871284,2,3,2,M,3,3,4,L,Q,0,MENDOCINO,UNINCORPORATED,2015
6871284,2,4,2,M,1,3,6,L,Q,0,MENDOCINO,UNINCORPORATED,2015
6871284,3,1,2,M,19,0,3,L,G,0,MENDOCINO,UNINCORPORATED,2015
8777179,1,1,1,M,77,2,1,L,G,0,MENDOCINO,UKIAH,2018
90394700,1,1,1,F,37,2,1,M,G,0,MENDOCINO,UNINCORPORATED,2017
90063896,1,1,4,M,56,2,1,-,W,3,MENDOCINO,UNINCORPORATED,2015
91623231,1,1,1,M,32,5,1,L,D,0,MENDOCINO,UNINCORPORATED,2021
92281911,1,1,1,M,53,5,1,L,G,0,MENDOCINO,UNINCORPORATED,2023
90872161,1,1,1,F,49,5,1,M,G,0,MENDOCINO,UNINCORPORATED,2018
90872161,1,2,2,M,48,6,6,M,G,0,MENDOCINO,UNINCORPORATED,2018
90796172,1,1,1,M,25,5,1,M,H,1,MENDOCINO,UNINCORPORATED,2018
90974905,1,1,1,M,62,1,1,P,W,1,MENDOCINO,UNINCORPORATED,2019
90974905,2,1,1,F,37,7,1,L,G,0,MENDOCINO,UNINCORPORATED,2019
91310558,1,1,1,M,25,5,1,B,B,0,MENDOCINO,UNINCORPORATED,2020
91310558,1,2,2,M,25,1,3,B,B,0,MENDOCINO,UNINCORPORATED,2020
91310558,1,3,2,F,5,5,4,B,B,0,MENDOCINO,UNINCORPORATED,2020
91310558,1,4,2,F,4,5,5,B,B,0,MENDOCINO,UNINCORPORATED,2020
91310558,1,5,2,M,13,5,6,B,B,0,MENDOCINO,UNINCORPORATED,2020
91310558,1,6,2,F,12,6,0,B,H,0,MENDOCINO,UNINCORPORATED,2020
91310558,1,7,2,M,13,5,0,B,B,0,MENDOCINO,UNINCORPORATED,2020
91310558,1,8,2,F,10,5,0,B,H,0,MENDOCINO,UNINCORPORATED,2020
91585944,2,1,1,M,34,5,1,P,W,0,MENDOCINO,UNINCORPORATED,2021
92093774,1,1,1,M,36,1,1,M,G,0,MENDOCINO,UNINCORPORATED,2022
92233947,1,1,2,F,22,7,3,B,G,0,MENDOCINO,UNINCORPORATED,2023
92233947,1,2,2,F,3,7,6,B,S,0,MENDOCINO,UNINCORPORATED,2023
92233947,1,3,1,F,60,5,1,B,G,0,MENDOCINO,UNINCORPORATED,2023
94658050,1,1,1,M,29,5,1,L,G,0,MENDOCINO,UNINCORPORATED,2025
90963238,1,1,1,F,27,5,1,L,G,0,MENDOCINO,UNINCORPORATED,2019
91847780,1,1,1,M,26,1,1,P,P,1,MENDOCINO,UNINCORPORATED,2022
6567926,1,1,2,F,17,2,3,M,G,0,MENDOCINO,UKIAH,2014
6854189,1,1,1,M,19,1,1,L,G,0,MENDOCINO,UKIAH,2014
90773089,1,1,1,M,77,5,1,M,G,0,MENDOCINO,UNINCORPORATED,2018
91081585,1,1,2,F,41,5,3,L,G,0,MENDOCINO,UNINCORPORATED,2019
6833671,1,1,1,M,23,2,1,P,W,0,MENDOCINO,UNINCORPORATED,2015
6874257,1,1,1,M,57,2,1,P,W,1,MENDOCINO,UNINCORPORATED,2015
8779995,2,1,3,M,61,1,9,-,-,0,MENDOCINO,"FORT BRAGG",2018
90035473,1,1,1,M,66,2,1,P,W,0,MENDOCINO,UNINCORPORATED,2015
90483029,1,1,1,M,29,2,1,P,B,0,MENDOCINO,UNINCORPORATED,2017
90980423,2,1,3,F,31,5,9,-,-,-,MENDOCINO,UNINCORPORATED,2019
91394542,1,1,1,M,57,1,1,M,H,1,MENDOCINO,UNINCORPORATED,2020
91857411,1,1,1,M,51,5,1,P,W,1,MENDOCINO,UNINCORPORATED,2022
94465426,1,1,1,M,40,5,1,L,H,0,MENDOCINO,UNINCORPORATED,2024
90071498,1,1,1,F,46,2,1,L,F,0,MENDOCINO,UNINCORPORATED,2015
90220418,1,1,2,F,47,0,3,M,G,0,MENDOCINO,UNINCORPORATED,2016
90220418,2,1,1,M,62,1,1,B,B,0,MENDOCINO,UNINCORPORATED,2016
90220418,3,1,1,M,36,3,1,L,G,0,MENDOCINO,UNINCORPORATED,2016
90220418,3,2,2,F,37,3,3,L,G,0,MENDOCINO,UNINCORPORATED,2016
90220418,5,1,2,M,18,0,3,L,G,0,MENDOCINO,UNINCORPORATED,2016
91999054,1,1,2,M,19,7,6,M,G,0,MENDOCINO,UNINCORPORATED,2023
91999054,1,2,1,M,20,5,1,L,G,0,MENDOCINO,UNINCORPORATED,2023
94673552,1,1,1,M,30,5,1,L,H,0,MENDOCINO,UNINCORPORATED,2025
6291110,1,1,2,M,49,1,3,M,H,1,MENDOCINO,UNINCORPORATED,2014
6291110,1,2,1,M,25,3,1,M,H,0,MENDOCINO,UNINCORPORATED,2014
90762621,1,1,1,M,38,5,1,P,W,1,MENDOCINO,UNINCORPORATED,2018
90809882,1,1,1,M,46,5,1,P,W,0,MENDOCINO,UNINCORPORATED,2018
91388372,2,1,1,F,48,5,1,P,W,1,MENDOCINO,UNINCORPORATED,2020
94673634,1,1,4,M,6,5,0,P,W,1,MENDOCINO,UNINCORPORATED,2025
90090609,1,1,1,F,45,2,1,P,G,0,MENDOCINO,UNINCORPORATED,2016
90197808,1,1,2,M,25,0,3,L,G,0,MENDOCINO,UNINCORPORATED,2016
90197808,1,2,2,M,20,0,6,M,G,0,MENDOCINO,UNINCORPORATED,2016
90197808,1,3,2,M,21,0,4,M,G,0,MENDOCINO,UNINCORPORATED,2016
90197808,1,4,2,F,20,0,5,M,G,0,MENDOCINO,UNINCORPORATED,2016
90197808,2,1,2,M,3,2,6,M,Q,0,MENDOCINO,UNINCORPORATED,2016
90197808,2,2,1,M,40,4,1,M,G,0,MENDOCINO,UNINCORPORATED,2016
90197808,2,3,2,M,47,0,3,M,G,0,MENDOCINO,UNINCORPORATED,2016
90197808,3,1,2,M,23,0,3,M,G,0,MENDOCINO,UNINCORPORATED,2016
90197808,3,2,2,F,2,0,6,M,Q,0,MENDOCINO,UNINCORPORATED,2016
90197808,3,3,2,F,2,0,4,M,Q,0,MENDOCINO,UNINCORPORATED,2016
90781188,1,1,1,F,49,5,1,L,G,0,MENDOCINO,UNINCORPORATED,2018
90781188,2,1,1,M,33,6,1,L,G,0,MENDOCINO,UNINCORPORATED,2018
91923025,1,1,1,F,28,5,1,L,G,0,MENDOCINO,UNINCORPORATED,2022
92081506,1,1,1,M,41,5,1,P,W,1,MENDOCINO,UNINCORPORATED,2023
8136634,2,1,4,M,70,2,1,V,P,1,MENDOCINO,UKIAH,2016
