CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6592210,1,1,1,M,47,2,1,M,H,1,MERCED,MERCED,2014
8631600,1,1,2,F,998,2,3,L,G,0,MERCED,ATWATER,2018
8648161,2,1,3,M,46,1,9,-,-,3,MERCED,MERCED,2018
9594467,1,1,2,F,20,6,4,L,G,0,MERCED,MERCED,2023
9594467,1,2,2,F,22,6,3,L,G,0,MERCED,MERCED,2023
9594467,1,3,2,F,15,6,5,P,H,0,MERCED,MERCED,2023
9594467,1,4,2,M,15,6,6,L,M,0,MERCED,MERCED,2023
9594467,1,5,1,M,22,6,1,L,G,0,MERCED,MERCED,2023
9594467,2,1,1,M,24,6,1,L,G,0,MERCED,MERCED,2023
9594467,3,1,1,F,43,5,1,L,G,0,MERCED,MERCED,2023
91029603,1,1,1,F,40,1,1,M,H,1,MERCED,UNINCORPORATED,2019
91420939,1,1,1,M,64,5,1,M,G,0,MERCED,UNINCORPORATED,2021
91770775,1,1,1,M,30,1,1,L,G,0,MERCED,UNINCORPORATED,2022
91983136,1,1,1,F,22,5,1,L,G,0,MERCED,UNINCORPORATED,2023
91983136,1,2,2,M,24,5,3,L,G,0,MERCED,UNINCORPORATED,2023
92207088,1,1,2,F,30,7,3,L,G,0,MERCED,UNINCORPORATED,2023
92207088,1,2,1,F,46,7,1,L,G,0,MERCED,UNINCORPORATED,2023
92207088,2,1,1,M,31,1,1,L,G,0,MERCED,UNINCORPORATED,2023
92325754,1,1,3,M,36,1,9,-,-,0,MERCED,UNINCORPORATED,2023
92428380,1,1,2,M,24,5,3,L,G,0,MERCED,UNINCORPORATED,2024
92428380,1,2,1,M,45,6,1,M,G,0,MERCED,UNINCORPORATED,2024
6822024,1,1,1,M,29,2,1,L,G,0,MERCED,UNINCORPORATED,2015
8788161,1,1,4,F,18,2,1,P,V,1,MERCED,MERCED,2018
9714794,1,1,1,M,37,6,1,P,-,0,MERCED,"LOS BANOS",2023
9714794,2,1,3,F,42,5,-,P,-,0,MERCED,"LOS BANOS",2023
9714866,1,1,3,M,13,5,-,P,-,0,MERCED,"LOS BANOS",2023
9714895,1,1,3,M,29,5,-,-,-,-,MERCED,"LOS BANOS",2023
90866709,2,1,1,F,57,1,1,M,G,0,MERCED,UNINCORPORATED,2018
90866709,2,2,2,F,19,5,3,M,G,0,MERCED,UNINCORPORATED,2018
90866709,2,3,2,F,10,1,4,M,G,0,MERCED,UNINCORPORATED,2018
90866709,2,4,2,F,6,5,6,M,G,0,MERCED,UNINCORPORATED,2018
90866709,2,5,2,F,6,1,7,M,G,0,MERCED,UNINCORPORATED,2018
91477720,1,1,2,F,39,6,3,L,G,0,MERCED,UNINCORPORATED,2021
91477720,2,1,1,M,41,5,1,M,G,0,MERCED,UNINCORPORATED,2021
7132585,1,1,2,F,17,2,3,L,G,0,MERCED,MERCED,2015
7132585,1,2,1,M,24,4,1,L,G,0,MERCED,MERCED,2015
7132585,1,3,2,F,17,0,2,M,G,0,MERCED,MERCED,2015
7132585,2,1,2,F,12,0,3,L,G,0,MERCED,MERCED,2015
7132585,2,2,2,M,14,0,4,P,G,0,MERCED,MERCED,2015
7132585,2,3,2,F,7,0,0,P,G,0,MERCED,MERCED,2015
9320352,2,1,3,M,43,1,-,-,-,-,MERCED,MERCED,2021
9482166,2,1,3,F,42,5,0,P,-,0,MERCED,MERCED,2022
90551352,1,1,1,M,34,2,1,L,H,0,MERCED,UNINCORPORATED,2017
90551352,2,1,1,M,24,4,1,P,P,0,MERCED,UNINCORPORATED,2017
90696413,1,1,1,F,21,5,1,L,H,0,MERCED,UNINCORPORATED,2018
90696413,2,1,1,M,17,1,1,L,G,0,MERCED,UNINCORPORATED,2018
90696413,2,2,2,M,16,1,4,L,H,1,MERCED,UNINCORPORATED,2018
90696413,2,3,2,M,16,5,3,L,G,0,MERCED,UNINCORPORATED,2018
91379800,1,1,1,M,19,5,1,L,H,0,MERCED,UNINCORPORATED,2020
91409424,1,1,1,F,44,1,1,L,H,1,MERCED,UNINCORPORATED,2020
92281419,1,1,2,F,30,7,3,L,G,0,MERCED,UNINCORPORATED,2023
92281419,1,2,1,M,28,5,1,L,G,0,MERCED,UNINCORPORATED,2023
92281419,2,1,2,M,7,6,6,M,U,0,MERCED,UNINCORPORATED,2023
92281419,2,2,1,F,28,6,1,L,G,0,MERCED,UNINCORPORATED,2023
94461890,2,1,2,F,1,5,4,L,Q,0,MERCED,UNINCORPORATED,2024
94461890,2,2,1,M,29,6,1,L,G,0,MERCED,UNINCORPORATED,2024
94461890,2,3,2,F,24,6,3,L,G,0,MERCED,UNINCORPORATED,2024
94461890,2,4,2,M,3,6,6,L,Q,0,MERCED,UNINCORPORATED,2024
94564607,1,1,1,F,52,5,1,L,H,1,MERCED,UNINCORPORATED,2025
6291550,1,1,1,F,20,4,1,L,G,0,MERCED,UNINCORPORATED,2014
6291550,3,1,1,M,67,1,1,P,W,1,MERCED,UNINCORPORATED,2014
6292238,1,1,1,M,36,1,1,M,G,0,MERCED,UNINCORPORATED,2015
8351726,2,1,1,M,42,2,1,P,W,1,MERCED,MERCED,2017
8914059,1,1,4,M,15,2,1,P,V,1,MERCED,MERCED,2019
9320685,1,1,1,M,42,1,1,L,G,0,MERCED,MERCED,2021
90198596,1,1,1,M,30,2,1,M,G,0,MERCED,UNINCORPORATED,2016
90229137,1,1,1,M,51,2,1,L,G,0,MERCED,UNINCORPORATED,2016
90380188,1,1,3,M,30,2,0,-,-,-,MERCED,UNINCORPORATED,2017
90514705,1,1,2,M,68,1,0,P,D,1,MERCED,UNINCORPORATED,2016
90514705,1,2,2,M,57,1,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,3,2,M,38,1,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,4,2,F,64,1,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,5,2,M,30,2,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,6,2,M,44,2,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,7,2,F,72,2,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,8,2,M,20,2,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,9,2,M,39,2,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,10,2,M,40,2,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,11,2,F,49,2,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,12,2,F,45,2,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,13,2,F,59,3,0,P,D,0,MERCED,UNINCORPORATED,2016
90514705,1,14,2,F,12,3,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,15,2,F,70,3,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,16,2,M,48,3,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,17,2,F,56,3,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,18,2,M,55,3,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,19,2,M,29,4,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,20,2,M,23,4,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,21,2,M,40,4,0,P,P,0,MERCED,UNINCORPORATED,2016
90514705,1,22,2,F,40,4,0,P,P,0,MERCED,UNINCORPORATED,2016
