CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
90529017,1,1,2,F,23,2,8,P,C,0,MODOC,UNINCORPORATED,2017
90529017,1,2,2,M,38,3,3,M,G,0,MODOC,UNINCORPORATED,2017
90529017,1,3,2,F,25,3,8,P,C,0,MODOC,UNINCORPORATED,2017
90529017,1,4,2,M,34,3,8,P,D,0,MODOC,UNINCORPORATED,2017
90529017,1,5,2,M,29,3,8,P,C,0,MODOC,UNINCORPORATED,2017
90529017,1,6,2,M,29,3,8,P,C,0,MODOC,UNINCORPORATED,2017
90529017,1,7,2,M,37,3,8,P,C,0,MODOC,UNINCORPORATED,2017
90529017,1,8,1,M,38,3,1,M,G,0,MODOC,UNINCORPORATED,2017
91219870,1,1,1,M,21,1,1,L,G,0,MODOC,UNINCORPORATED,2020
91963838,1,1,1,M,83,5,1,M,H,0,MODOC,UNINCORPORATED,2023
92377462,1,1,2,M,15,1,3,M,H,1,MODOC,UNINCORPORATED,2024
92377462,1,2,1,M,16,5,1,M,H,1,MODOC,UNINCORPORATED,2024
92276649,1,1,1,F,27,5,1,L,H,0,MODOC,UNINCORPORATED,2023
6921532,1,1,1,M,42,2,1,P,W,1,MODOC,UNINCORPORATED,2015
91866908,1,1,1,F,31,5,1,L,G,0,MODOC,UNINCORPORATED,2022
90874645,1,1,1,F,54,5,1,L,G,0,MODOC,UNINCORPORATED,2018
6635877,1,1,1,M,48,2,1,L,G,0,MODOC,UNINCORPORATED,2014
91715466,1,1,1,F,75,1,1,L,B,0,MODOC,UNINCORPORATED,2021
91715466,2,1,1,M,43,7,1,P,G,0,MODOC,UNINCORPORATED,2021
91715466,3,1,1,M,50,6,1,L,G,0,MODOC,UNINCORPORATED,2021
91208091,1,1,1,F,24,6,1,M,G,0,MODOC,UNINCORPORATED,2020
91208091,1,2,2,M,46,5,3,M,H,1,MODOC,UNINCORPORATED,2020
91529528,1,1,1,M,59,5,1,P,G,0,MODOC,UNINCORPORATED,2021
91529528,1,2,2,F,31,6,3,P,G,0,MODOC,UNINCORPORATED,2021
90233418,1,1,2,M,24,2,3,P,H,0,MODOC,UNINCORPORATED,2016
91295550,1,1,1,M,38,5,1,L,G,0,MODOC,UNINCORPORATED,2020
90271256,1,1,1,M,49,4,1,M,G,0,MODOC,UNINCORPORATED,2016
90271256,1,2,2,M,21,4,3,M,G,0,MODOC,UNINCORPORATED,2016
90271256,2,1,2,F,95,2,3,L,G,0,MODOC,UNINCORPORATED,2016
90271256,2,2,2,F,70,2,6,P,G,0,MODOC,UNINCORPORATED,2016
90271256,2,3,1,M,73,4,1,L,G,0,MODOC,UNINCORPORATED,2016
92062290,1,1,5,M,58,5,0,P,W,1,MODOC,UNINCORPORATED,2023
90581573,1,1,1,M,60,5,1,M,G,0,MODOC,UNINCORPORATED,2017
90581573,1,2,2,F,83,5,3,M,G,0,MODOC,UNINCORPORATED,2017
94395003,2,1,4,M,52,1,0,P,P,1,MODOC,UNINCORPORATED,2024
91621759,1,1,1,M,21,5,1,P,V,1,MODOC,UNINCORPORATED,2021
91621759,2,1,1,M,20,5,1,P,V,1,MODOC,UNINCORPORATED,2021
90678299,1,1,1,M,32,7,1,P,H,0,MODOC,UNINCORPORATED,2018
90678299,2,1,1,M,62,5,1,M,H,0,MODOC,UNINCORPORATED,2018
94368660,1,1,1,M,28,5,1,B,G,0,MODOC,UNINCORPORATED,2024
91089077,1,1,1,M,25,1,1,M,H,1,MODOC,UNINCORPORATED,2019
94761106,1,1,1,M,35,1,1,L,H,0,MODOC,UNINCORPORATED,2025
