CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8402422,1,1,4,M,40,2,9,P,V,1,NAPA,CALISTOGA,2017
9495423,1,1,2,M,14,3,6,L,G,0,NAPA,NAPA,2022
9495423,1,2,2,F,56,2,3,L,B,0,NAPA,NAPA,2022
9495423,1,3,1,M,56,4,1,L,B,0,NAPA,NAPA,2022
9495423,2,1,1,F,86,3,1,L,G,0,NAPA,NAPA,2022
90539178,1,1,1,F,53,2,1,P,W,1,NAPA,UNINCORPORATED,2017
8632071,1,1,1,F,36,4,1,L,G,0,NAPA,NAPA,2018
8632071,1,2,2,M,13,4,3,L,G,0,NAPA,NAPA,2018
8632071,1,3,2,F,9,3,4,L,G,0,NAPA,NAPA,2018
8632071,2,1,1,F,29,2,1,L,G,0,NAPA,NAPA,2018
8632071,2,2,2,M,35,2,3,L,G,0,NAPA,NAPA,2018
8632071,3,1,2,F,23,0,3,L,C,0,NAPA,NAPA,2018
8632071,4,1,1,F,55,4,1,M,G,0,NAPA,NAPA,2018
8632071,4,2,2,F,77,4,6,P,G,0,NAPA,NAPA,2018
90662459,1,1,2,F,35,5,3,L,G,0,NAPA,UNINCORPORATED,2018
84603261,2,1,3,F,20,5,9,-,P,-,NAPA,"AMERICAN CANYON",2025
90638552,1,1,1,M,25,5,1,P,W,1,NAPA,UNINCORPORATED,2018
91037441,1,1,2,M,35,5,6,P,G,0,NAPA,UNINCORPORATED,2019
91037441,1,2,1,M,35,6,1,P,G,0,NAPA,UNINCORPORATED,2019
91037441,1,3,2,M,34,7,3,P,G,0,NAPA,UNINCORPORATED,2019
91620214,2,1,1,M,64,5,1,P,W,1,NAPA,UNINCORPORATED,2021
91620214,2,2,2,F,67,5,0,P,Y,1,NAPA,UNINCORPORATED,2021
91625675,1,1,1,M,36,5,1,L,G,0,NAPA,UNINCORPORATED,2021
90376515,1,1,1,F,60,2,1,M,H,0,NAPA,UNINCORPORATED,2017
90376515,2,1,1,M,52,3,1,L,G,0,NAPA,UNINCORPORATED,2017
91071114,1,1,1,M,28,5,1,P,W,1,NAPA,UNINCORPORATED,2019
91771747,1,1,2,M,47,5,2,M,G,0,NAPA,UNINCORPORATED,2022
92429921,1,1,1,M,51,5,1,P,W,1,NAPA,UNINCORPORATED,2024
6694048,2,1,1,M,45,2,1,M,G,0,NAPA,UNINCORPORATED,2014
8656733,1,1,1,F,55,2,1,P,W,2,NAPA,"AMERICAN CANYON",2018
7040391,1,1,4,M,50,2,1,P,-,1,NAPA,NAPA,2015
90148428,1,1,1,M,19,2,1,L,G,0,NAPA,UNINCORPORATED,2016
93732124,1,1,1,M,81,5,1,L,G,0,NAPA,UNINCORPORATED,2024
93732124,1,2,2,F,74,7,3,L,G,0,NAPA,UNINCORPORATED,2024
6847091,1,1,1,M,44,2,1,P,W,1,NAPA,UNINCORPORATED,2015
6959059,1,1,1,M,49,2,1,P,W,1,NAPA,UNINCORPORATED,2015
84479497,1,1,2,F,46,7,6,M,G,0,NAPA,NAPA,2024
84479497,2,1,1,M,56,5,1,P,-,1,NAPA,NAPA,2024
90743785,2,1,1,F,22,6,1,L,G,0,NAPA,UNINCORPORATED,2018
90743785,2,2,2,F,20,5,6,P,G,0,NAPA,UNINCORPORATED,2018
90743785,2,3,2,F,21,6,3,L,G,0,NAPA,UNINCORPORATED,2018
90834136,2,1,4,M,58,5,1,-,W,1,NAPA,UNINCORPORATED,2018
90835493,2,1,2,F,60,5,6,M,H,0,NAPA,UNINCORPORATED,2018
90835493,2,2,2,F,24,6,4,L,G,0,NAPA,UNINCORPORATED,2018
8022675,2,1,3,F,78,2,9,N,-,0,NAPA,NAPA,2016
90560379,1,1,1,F,20,3,1,L,G,0,NAPA,UNINCORPORATED,2017
90560379,1,2,2,F,24,3,3,L,G,0,NAPA,UNINCORPORATED,2017
90560379,2,1,1,F,64,2,1,M,G,0,NAPA,UNINCORPORATED,2017
90560379,2,2,2,M,32,3,3,M,G,0,NAPA,UNINCORPORATED,2017
90991401,1,1,1,M,44,5,1,L,G,0,NAPA,UNINCORPORATED,2019
91549455,2,1,1,M,22,5,1,L,G,0,NAPA,UNINCORPORATED,2021
92430913,1,1,1,M,51,5,1,L,H,0,NAPA,CALISTOGA,2024
9675688,1,1,4,F,67,5,-,P,V,1,NAPA,CALISTOGA,2024
9756236,1,1,1,F,55,5,1,M,G,0,NAPA,"SAINT HELENA",2024
90035645,1,1,2,F,48,2,3,L,G,0,NAPA,UNINCORPORATED,2015
90035645,1,2,1,M,40,4,1,L,G,0,NAPA,UNINCORPORATED,2015
90035645,2,1,2,F,61,4,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,2,2,M,48,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,3,2,M,17,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,4,2,M,18,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,5,2,M,20,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,6,2,M,21,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,7,2,F,21,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,8,2,F,54,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,9,2,F,25,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,10,2,M,74,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,11,2,F,23,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,12,2,F,19,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,13,2,M,43,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,14,2,M,19,0,0,P,P,0,NAPA,UNINCORPORATED,2015
90035645,2,15,2,F,23,0,0,P,P,0,NAPA,UNINCORPORATED,2015
