CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6858320,1,1,1,F,47,2,1,L,G,0,NEVADA,UNINCORPORATED,2015
91897484,1,1,1,F,45,5,1,L,G,0,NEVADA,UNINCORPORATED,2022
91897484,2,1,1,F,75,6,1,L,G,0,NEVADA,UNINCORPORATED,2022
90727035,1,1,1,M,67,5,1,M,H,0,NEVADA,UNINCORPORATED,2018
91889274,1,1,2,F,31,5,3,L,H,0,NEVADA,UNINCORPORATED,2022
91889274,1,2,1,M,26,7,1,L,H,0,NEVADA,UNINCORPORATED,2022
90307784,1,1,1,M,25,2,1,L,H,1,NEVADA,UNINCORPORATED,2016
90307784,1,2,2,M,48,3,3,L,G,0,NEVADA,UNINCORPORATED,2016
90307784,1,3,2,M,27,4,6,L,G,0,NEVADA,UNINCORPORATED,2016
91777977,1,1,1,M,76,1,1,M,H,0,NEVADA,UNINCORPORATED,2022
91888141,1,1,1,M,37,5,1,L,G,0,NEVADA,UNINCORPORATED,2022
91981987,2,1,1,M,34,5,1,P,W,0,NEVADA,UNINCORPORATED,2023
90579384,1,1,1,F,35,5,1,L,G,0,NEVADA,UNINCORPORATED,2017
90579384,1,2,2,-,36,5,3,L,G,0,NEVADA,UNINCORPORATED,2017
90773621,1,1,1,M,60,6,1,L,G,0,NEVADA,UNINCORPORATED,2018
90773621,2,1,1,M,54,5,1,L,G,0,NEVADA,UNINCORPORATED,2018
90973032,2,1,1,M,26,5,1,M,G,0,NEVADA,UNINCORPORATED,2019
92321960,1,1,1,M,33,5,1,L,H,0,NEVADA,TRUCKEE,2024
6914221,1,1,1,M,64,2,1,P,W,1,NEVADA,UNINCORPORATED,2015
9274379,1,1,1,M,65,2,1,L,G,0,NEVADA,"GRASS VALLEY",2021
9274379,2,1,2,F,45,0,3,M,G,0,NEVADA,"GRASS VALLEY",2021
9274379,2,2,2,F,4,0,6,M,Q,0,NEVADA,"GRASS VALLEY",2021
9274379,4,1,2,F,49,0,3,M,G,0,NEVADA,"GRASS VALLEY",2021
90130845,1,1,1,M,53,1,1,L,G,2,NEVADA,UNINCORPORATED,2015
90130845,2,1,1,M,58,4,1,P,G,0,NEVADA,UNINCORPORATED,2015
90760282,1,1,1,M,63,5,1,L,B,0,NEVADA,TRUCKEE,2018
91546873,2,1,1,M,82,5,1,L,G,0,NEVADA,UNINCORPORATED,2021
