CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6678415,2,1,1,M,61,2,1,P,W,1,PLUMAS,UNINCORPORATED,2014
6678415,2,2,2,F,58,2,2,P,Y,1,PLUMAS,UNINCORPORATED,2014
90366681,1,1,2,F,43,2,3,P,H,0,PLUMAS,UNINCORPORATED,2017
90366681,1,2,1,M,39,3,1,P,H,0,PLUMAS,UNINCORPORATED,2017
6854619,1,1,1,M,40,1,1,M,H,0,PLUMAS,UNINCORPORATED,2015
91599262,1,1,2,F,17,1,4,P,G,0,PLUMAS,UNINCORPORATED,2021
91599262,1,2,2,F,20,5,3,L,H,0,PLUMAS,UNINCORPORATED,2021
91599262,1,3,1,F,17,6,1,L,G,0,PLUMAS,UNINCORPORATED,2021
91899561,1,1,2,F,54,5,3,M,G,0,PLUMAS,UNINCORPORATED,2022
91899561,1,2,1,F,20,6,1,M,G,0,PLUMAS,UNINCORPORATED,2022
91034868,1,1,1,M,63,5,1,P,W,1,PLUMAS,UNINCORPORATED,2019
92161632,1,1,1,M,22,5,1,P,W,1,PLUMAS,UNINCORPORATED,2023
90578682,1,1,1,F,67,1,1,M,G,0,PLUMAS,UNINCORPORATED,2017
90578682,1,2,2,F,42,6,3,M,G,0,PLUMAS,UNINCORPORATED,2017
92438485,2,1,1,F,69,5,1,L,G,0,PLUMAS,UNINCORPORATED,2024
91077594,1,1,1,M,35,5,1,M,H,1,PLUMAS,UNINCORPORATED,2019
6635929,1,1,1,M,69,2,1,P,W,2,PLUMAS,UNINCORPORATED,2014
92134371,1,1,1,M,46,5,1,P,W,1,PLUMAS,UNINCORPORATED,2023
6911405,1,1,1,F,29,2,1,L,H,0,PLUMAS,UNINCORPORATED,2015
91193610,1,1,1,M,45,5,1,M,G,0,PLUMAS,UNINCORPORATED,2020
91402424,1,1,2,F,34,5,3,M,H,0,PLUMAS,UNINCORPORATED,2021
90622462,1,1,1,F,36,1,1,M,H,1,PLUMAS,UNINCORPORATED,2017
90721824,1,1,1,F,75,5,1,L,G,0,PLUMAS,UNINCORPORATED,2018
90801950,1,1,1,F,19,5,1,M,G,0,PLUMAS,UNINCORPORATED,2018
90325396,1,1,1,M,25,2,1,L,G,0,PLUMAS,UNINCORPORATED,2016
91536413,1,1,1,M,22,5,1,L,G,0,PLUMAS,UNINCORPORATED,2021
91536413,2,1,1,M,69,5,1,L,G,0,PLUMAS,UNINCORPORATED,2021
91536413,2,2,2,F,68,5,3,L,G,0,PLUMAS,UNINCORPORATED,2021
91536413,2,3,2,F,34,5,6,L,G,0,PLUMAS,UNINCORPORATED,2021
91536413,2,4,2,F,38,5,5,P,G,0,PLUMAS,UNINCORPORATED,2021
91536413,2,5,2,M,29,5,4,L,G,0,PLUMAS,UNINCORPORATED,2021
91958494,1,1,2,F,30,5,0,P,X,1,PLUMAS,UNINCORPORATED,2022
91958494,1,2,1,M,33,6,1,P,X,1,PLUMAS,UNINCORPORATED,2022
90768565,1,1,1,F,39,5,1,M,G,0,PLUMAS,UNINCORPORATED,2018
94407169,1,1,2,F,23,5,6,P,P,1,PLUMAS,UNINCORPORATED,2024
90508549,1,1,1,M,57,2,1,M,H,0,PLUMAS,UNINCORPORATED,2017
90508549,2,1,2,F,54,2,3,L,G,0,PLUMAS,UNINCORPORATED,2017
90508549,2,2,1,M,53,3,1,L,G,0,PLUMAS,UNINCORPORATED,2017
91329905,1,1,1,M,69,5,1,P,W,1,PLUMAS,UNINCORPORATED,2020
90288849,1,1,1,M,51,2,1,M,G,0,PLUMAS,UNINCORPORATED,2016
94435554,1,1,1,M,75,5,1,P,W,1,PLUMAS,UNINCORPORATED,2024
6678281,1,1,1,F,45,1,1,L,G,0,PLUMAS,UNINCORPORATED,2014
6678281,2,1,1,M,46,2,1,L,G,0,PLUMAS,UNINCORPORATED,2014
6678281,2,2,2,F,13,2,5,P,C,0,PLUMAS,UNINCORPORATED,2014
6678281,2,3,2,M,16,2,6,P,G,0,PLUMAS,UNINCORPORATED,2014
6678281,2,4,2,F,40,2,3,L,G,0,PLUMAS,UNINCORPORATED,2014
6678281,2,5,2,F,8,3,4,P,G,0,PLUMAS,UNINCORPORATED,2014
91471684,2,1,2,M,55,5,5,P,H,1,PLUMAS,UNINCORPORATED,2021
91471684,2,2,2,M,39,6,3,M,G,0,PLUMAS,UNINCORPORATED,2021
91471684,2,3,1,F,38,7,1,M,G,0,PLUMAS,UNINCORPORATED,2021
90740013,1,1,1,M,21,5,1,L,H,1,PLUMAS,UNINCORPORATED,2018
91844181,1,1,2,F,55,1,4,P,H,2,PLUMAS,UNINCORPORATED,2022
91844181,1,2,1,M,42,5,1,M,H,2,PLUMAS,UNINCORPORATED,2022
91844181,1,3,2,F,34,5,3,M,H,0,PLUMAS,UNINCORPORATED,2022
6621616,1,1,1,M,61,2,1,P,W,1,PLUMAS,UNINCORPORATED,2014
6621616,2,1,2,F,41,4,2,P,Y,0,PLUMAS,UNINCORPORATED,2014
92117744,1,1,1,F,21,6,1,M,G,0,PLUMAS,UNINCORPORATED,2023
92117744,2,1,3,M,41,5,0,P,P,0,PLUMAS,UNINCORPORATED,2023
91029152,1,1,1,F,32,5,1,L,G,0,PLUMAS,UNINCORPORATED,2019
91029152,1,2,2,M,34,7,3,L,G,0,PLUMAS,UNINCORPORATED,2019
91029152,1,3,2,M,5,7,6,M,Q,0,PLUMAS,UNINCORPORATED,2019
92199284,1,1,1,M,78,5,1,L,G,0,PLUMAS,UNINCORPORATED,2023
6955066,1,1,1,M,66,2,1,M,G,0,PLUMAS,UNINCORPORATED,2015
92270191,1,1,1,M,31,5,1,M,G,0,PLUMAS,UNINCORPORATED,2023
6791557,1,1,1,M,24,2,1,L,G,0,PLUMAS,UNINCORPORATED,2015
91128570,1,1,1,M,72,5,1,L,G,0,PLUMAS,UNINCORPORATED,2019
91841627,1,1,1,M,46,1,1,L,H,0,PLUMAS,UNINCORPORATED,2022
92028515,1,1,1,F,35,5,1,M,H,1,PLUMAS,UNINCORPORATED,2023
90399837,1,1,1,F,31,2,1,P,V,1,PLUMAS,UNINCORPORATED,2017
90399837,1,2,2,F,998,3,0,P,X,1,PLUMAS,UNINCORPORATED,2017
90906968,1,1,1,F,31,5,1,L,G,0,PLUMAS,UNINCORPORATED,2019
90057484,1,1,1,M,77,1,1,P,G,0,PLUMAS,UNINCORPORATED,2015
90789212,1,1,1,M,63,5,1,P,G,0,PLUMAS,UNINCORPORATED,2018
90749664,1,1,1,M,65,5,1,P,W,1,PLUMAS,UNINCORPORATED,2018
90749664,2,1,1,M,59,5,1,P,W,1,PLUMAS,UNINCORPORATED,2018
90244697,1,1,2,M,29,2,3,P,G,0,PLUMAS,UNINCORPORATED,2016
90244697,1,2,1,M,23,3,1,P,G,0,PLUMAS,UNINCORPORATED,2016
92302562,1,1,1,M,78,5,1,N,G,0,PLUMAS,UNINCORPORATED,2024
92393312,1,1,1,M,56,5,1,P,W,1,PLUMAS,UNINCORPORATED,2024
91046838,1,1,1,M,21,5,1,P,W,1,PLUMAS,UNINCORPORATED,2019
91267061,1,1,1,M,63,5,1,P,W,1,PLUMAS,UNINCORPORATED,2020
92091558,1,1,1,M,38,5,1,L,H,2,PLUMAS,UNINCORPORATED,2023
90820345,1,1,1,M,27,5,1,P,W,1,PLUMAS,UNINCORPORATED,2018
94359566,1,1,1,M,39,5,1,P,W,1,PLUMAS,UNINCORPORATED,2024
91320104,1,1,1,F,21,5,1,L,G,0,PLUMAS,UNINCORPORATED,2020
91320104,2,1,2,F,33,6,3,L,G,0,PLUMAS,UNINCORPORATED,2020
6718013,1,1,1,M,65,1,1,P,H,0,PLUMAS,UNINCORPORATED,2014
90092291,1,1,1,M,57,2,1,L,G,0,PLUMAS,UNINCORPORATED,2015
91927936,1,1,1,M,21,5,1,M,H,3,PLUMAS,UNINCORPORATED,2022
94660666,1,1,1,M,52,5,1,L,H,0,PLUMAS,UNINCORPORATED,2025
94660666,1,2,2,F,55,5,3,L,G,0,PLUMAS,UNINCORPORATED,2025
94660666,2,1,1,M,61,5,1,L,G,0,PLUMAS,UNINCORPORATED,2025
91082424,1,1,1,M,23,1,1,L,G,0,PLUMAS,UNINCORPORATED,2019
90215784,1,1,1,M,21,4,1,M,G,0,PLUMAS,UNINCORPORATED,2016
90215784,1,2,2,F,22,4,3,M,G,0,PLUMAS,UNINCORPORATED,2016
90215784,1,3,2,M,23,2,5,P,H,0,PLUMAS,UNINCORPORATED,2016
90876075,1,1,1,M,79,5,1,L,G,0,PLUMAS,UNINCORPORATED,2018
91072115,1,1,1,M,63,5,1,P,W,1,PLUMAS,UNINCORPORATED,2019
91506411,1,1,4,F,30,5,0,P,W,1,PLUMAS,UNINCORPORATED,2021
91530557,1,1,1,M,53,5,1,L,H,1,PLUMAS,UNINCORPORATED,2021
90914479,1,1,2,M,19,5,0,P,D,1,PLUMAS,UNINCORPORATED,2019
91649584,1,1,1,F,75,5,1,L,G,0,PLUMAS,UNINCORPORATED,2021
6606081,1,1,1,M,71,1,1,M,H,0,PLUMAS,UNINCORPORATED,2014
90231808,1,1,1,M,69,1,1,P,W,1,PLUMAS,UNINCORPORATED,2016
90231808,2,1,1,M,60,4,1,M,G,0,PLUMAS,UNINCORPORATED,2016
90231808,2,2,2,F,54,0,3,M,G,0,PLUMAS,UNINCORPORATED,2016
91539654,1,1,1,F,40,5,1,P,B,0,PLUMAS,UNINCORPORATED,2021
92015012,1,1,1,F,31,5,1,L,G,0,PLUMAS,UNINCORPORATED,2023
90030249,1,1,1,M,40,2,1,L,G,0,PLUMAS,UNINCORPORATED,2015
90030249,1,2,2,F,5,0,6,P,Q,0,PLUMAS,UNINCORPORATED,2015
90030249,2,1,2,F,58,4,6,P,G,0,PLUMAS,UNINCORPORATED,2015
90030249,2,2,2,F,31,0,3,L,G,0,PLUMAS,UNINCORPORATED,2015
91074772,1,1,1,M,71,5,1,L,G,2,PLUMAS,UNINCORPORATED,2019
91468511,2,1,3,F,66,5,0,P,P,0,PLUMAS,UNINCORPORATED,2021
90767962,1,1,1,M,72,5,1,P,W,1,PLUMAS,UNINCORPORATED,2018
6760210,1,1,1,M,24,2,1,P,H,0,PLUMAS,UNINCORPORATED,2014
90007715,1,1,1,M,27,2,1,M,G,0,PLUMAS,UNINCORPORATED,2015
91823549,1,1,1,F,36,5,1,L,G,0,PLUMAS,UNINCORPORATED,2022
90794185,1,1,4,M,73,5,1,-,W,1,PLUMAS,UNINCORPORATED,2018
90270100,1,1,1,M,49,2,1,P,W,1,PLUMAS,UNINCORPORATED,2016
6497097,1,1,2,F,13,2,8,P,A,1,PLUMAS,UNINCORPORATED,2014
90599113,1,1,1,M,25,5,1,L,G,0,PLUMAS,UNINCORPORATED,2017
90599113,1,2,2,M,45,7,3,L,H,0,PLUMAS,UNINCORPORATED,2017
90008406,1,1,1,M,16,2,1,P,W,1,PLUMAS,UNINCORPORATED,2015
90804447,1,1,1,F,59,5,1,P,W,1,PLUMAS,UNINCORPORATED,2018
91903848,1,1,1,M,25,5,1,M,H,0,PLUMAS,UNINCORPORATED,2022
6883377,1,1,1,M,53,2,1,P,W,1,PLUMAS,UNINCORPORATED,2015
6984718,1,1,1,F,49,4,1,L,G,0,PLUMAS,UNINCORPORATED,2015
6984718,1,2,2,F,16,2,3,L,G,0,PLUMAS,UNINCORPORATED,2015
6984718,1,3,2,F,16,3,4,P,G,0,PLUMAS,UNINCORPORATED,2015
6984718,1,4,2,F,17,4,6,P,G,0,PLUMAS,UNINCORPORATED,2015
91223866,1,1,1,F,33,5,1,M,G,0,PLUMAS,UNINCORPORATED,2020
90230733,1,1,1,F,33,2,1,P,W,1,PLUMAS,UNINCORPORATED,2016
90230733,2,1,2,M,67,0,3,M,G,0,PLUMAS,UNINCORPORATED,2016
