CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6292844,1,1,1,M,29,1,1,P,V,1,"SAN BERNARDINO",REDLANDS,2015
6292844,2,1,2,M,19,4,3,M,G,0,"SAN BERNARDINO",REDLANDS,2015
6546658,1,1,1,M,44,2,1,M,B,0,"SAN BERNARDINO",COLTON,2014
7006535,2,1,1,M,72,1,1,W,-,1,"SAN BERNARDINO",BARSTOW,2015
8328605,1,1,2,M,17,4,3,L,G,0,"SAN BERNARDINO",RIALTO,2017
8328605,1,2,1,M,22,2,1,L,G,0,"SAN BERNARDINO",RIALTO,2017
8404918,2,1,3,F,55,1,9,-,-,3,"SAN BERNARDINO",RIALTO,2018
8826527,1,1,2,M,19,2,9,B,-,1,"SAN BERNARDINO","CHINO HILLS",2019
91744047,1,1,1,F,37,7,1,L,G,0,"SAN BERNARDINO",UPLAND,2022
91744047,2,1,2,M,23,6,3,L,G,0,"SAN BERNARDINO",UPLAND,2022
91744047,2,2,2,M,19,6,6,P,G,0,"SAN BERNARDINO",UPLAND,2022
91744047,2,3,2,M,23,5,4,P,G,0,"SAN BERNARDINO",UPLAND,2022
91744047,2,4,1,M,22,6,1,L,G,0,"SAN BERNARDINO",UPLAND,2022
92105164,1,1,1,M,48,5,1,P,W,0,"SAN BERNARDINO",UNINCORPORATED,2023
92160569,1,1,1,M,29,5,1,L,G,0,"SAN BERNARDINO","SAN BERNARDINO",2023
92246849,1,1,1,M,36,6,1,L,G,0,"SAN BERNARDINO",UNINCORPORATED,2023
92246849,1,2,2,M,31,5,3,L,G,2,"SAN BERNARDINO",UNINCORPORATED,2023
92272662,1,1,1,M,59,6,1,M,G,0,"SAN BERNARDINO",REDLANDS,2023
