CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6505324,1,1,1,F,24,2,1,L,G,0,"SAN DIEGO",OCEANSIDE,2014
6505324,2,1,1,M,25,2,1,L,G,0,"SAN DIEGO",OCEANSIDE,2014
6505324,2,2,2,F,26,3,3,L,G,0,"SAN DIEGO",OCEANSIDE,2014
6505324,2,3,2,M,7,3,4,P,G,0,"SAN DIEGO",OCEANSIDE,2014
6505324,2,4,2,F,1,3,6,P,Q,0,"SAN DIEGO",OCEANSIDE,2014
6576591,1,1,1,F,20,2,1,L,G,0,"SAN DIEGO","EL CAJON",2014
6576591,2,1,1,F,24,3,1,M,G,0,"SAN DIEGO","EL CAJON",2014
6718631,1,1,3,F,68,1,9,-,-,3,"SAN DIEGO",CARLSBAD,2017
6854289,1,1,1,M,46,4,1,M,G,0,"SAN DIEGO",ESCONDIDO,2014
6854289,2,1,2,F,50,1,4,P,G,0,"SAN DIEGO",ESCONDIDO,2014
6854289,2,2,1,M,52,4,1,L,G,0,"SAN DIEGO",ESCONDIDO,2014
6854289,2,3,2,F,48,4,3,L,G,0,"SAN DIEGO",ESCONDIDO,2014
6854289,2,4,2,M,19,4,6,P,G,0,"SAN DIEGO",ESCONDIDO,2014
6856753,1,1,2,M,37,2,3,L,G,0,"SAN DIEGO","LA MESA",2015
6938545,1,1,1,F,33,2,1,M,G,0,"SAN DIEGO","SAN DIEGO",2015
6938545,2,1,1,F,30,3,1,L,G,0,"SAN DIEGO","SAN DIEGO",2015
92326840,1,1,1,M,28,1,1,L,H,1,"SAN DIEGO","SAN DIEGO",2023
94658009,1,1,1,M,70,5,1,P,W,1,"SAN DIEGO",OCEANSIDE,2025
91685934,1,1,1,F,72,5,1,L,H,3,"SAN DIEGO",UNINCORPORATED,2022
91807155,1,1,1,M,36,5,1,P,W,1,"SAN DIEGO","SAN DIEGO",2022
91920703,1,1,1,F,64,5,1,L,G,0,"SAN DIEGO","SAN DIEGO",2022
91920703,2,1,2,M,48,5,1,L,G,0,"SAN DIEGO","SAN DIEGO",2022
91965818,1,1,1,M,33,5,1,L,G,0,"SAN DIEGO",CARLSBAD,2022
91965818,2,1,2,M,26,5,6,L,G,0,"SAN DIEGO",CARLSBAD,2022
91965818,2,2,1,M,76,7,1,L,G,0,"SAN DIEGO",CARLSBAD,2022
92232601,1,1,1,M,28,6,1,M,G,0,"SAN DIEGO",UNINCORPORATED,2023
92232601,2,1,1,M,75,5,1,L,G,0,"SAN DIEGO",UNINCORPORATED,2023
92232601,2,2,2,F,67,1,6,L,G,0,"SAN DIEGO",UNINCORPORATED,2023
92307119,1,1,4,F,33,5,0,P,P,1,"SAN DIEGO",UNINCORPORATED,2023
91376354,1,1,1,F,62,1,1,L,G,0,"SAN DIEGO",UNINCORPORATED,2020
91376354,2,1,1,M,30,6,1,L,G,0,"SAN DIEGO",UNINCORPORATED,2020
91474731,1,1,1,M,32,5,1,L,G,0,"SAN DIEGO","SAN DIEGO",2021
91474731,1,2,2,M,12,6,3,L,G,0,"SAN DIEGO","SAN DIEGO",2021
91525687,1,1,1,M,29,5,1,L,H,0,"SAN DIEGO",UNINCORPORATED,2021
91604583,1,1,1,F,28,5,1,M,G,0,"SAN DIEGO",UNINCORPORATED,2021
91604583,2,1,1,M,23,7,1,M,G,0,"SAN DIEGO",UNINCORPORATED,2021
91604583,2,2,2,F,21,7,3,M,G,0,"SAN DIEGO",UNINCORPORATED,2021
91617726,2,1,1,M,81,5,1,L,G,0,"SAN DIEGO",UNINCORPORATED,2021
91617726,2,2,2,M,65,7,3,L,G,0,"SAN DIEGO",UNINCORPORATED,2021
91682809,1,1,1,M,48,5,1,M,G,0,"SAN DIEGO","CHULA VISTA",2021
91682809,1,2,2,F,43,5,3,M,G,0,"SAN DIEGO","CHULA VISTA",2021
91682809,1,3,2,F,46,5,6,M,B,0,"SAN DIEGO","CHULA VISTA",2021
90793923,2,1,1,M,32,5,1,P,A,1,"SAN DIEGO","SAN DIEGO",2018
91215576,1,1,1,F,28,6,1,M,G,0,"SAN DIEGO",UNINCORPORATED,2020
91215576,1,2,2,M,28,5,3,M,G,0,"SAN DIEGO",UNINCORPORATED,2020
91231514,1,1,1,M,59,5,1,P,G,0,"SAN DIEGO",UNINCORPORATED,2020
91231514,1,2,2,F,25,6,3,P,G,0,"SAN DIEGO",UNINCORPORATED,2020
91253550,1,1,1,M,31,5,1,L,G,0,"SAN DIEGO",UNINCORPORATED,2020
91253550,2,1,1,M,19,5,1,L,G,0,"SAN DIEGO",UNINCORPORATED,2020
91259367,2,1,1,M,46,5,1,P,W,1,"SAN DIEGO",UNINCORPORATED,2020
91302321,1,1,1,M,52,5,1,M,G,0,"SAN DIEGO",UNINCORPORATED,2020
