CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6573168,1,1,2,M,32,0,6,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2014
6573168,2,1,3,-,87,2,0,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2014
7006175,2,1,3,M,64,1,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2015
8360082,2,1,3,M,64,2,9,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2017
8382204,2,1,3,M,30,2,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2017
8496544,2,1,3,F,21,2,0,P,-,0,"SAN FRANCISCO","SAN FRANCISCO",2017
9505941,1,1,1,M,61,2,1,M,P,1,"SAN FRANCISCO","SAN FRANCISCO",2022
9742891,2,1,2,F,23,3,5,P,Y,1,"SAN FRANCISCO","SAN FRANCISCO",2024
9742891,2,2,1,M,22,2,-,-,-,-,"SAN FRANCISCO","SAN FRANCISCO",2024
90362057,2,1,1,M,41,2,1,P,Y,2,"SAN FRANCISCO","SAN FRANCISCO",2017
90749311,1,1,3,M,44,5,0,-,P,0,"SAN FRANCISCO","SAN FRANCISCO",2018
91163071,1,1,1,M,33,5,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2020
91936270,1,1,1,M,26,5,1,L,G,0,"SAN FRANCISCO","SAN FRANCISCO",2022
91936270,2,1,1,M,36,7,1,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2022
91936270,2,2,2,F,66,7,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2022
91936270,2,3,2,M,9,7,4,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2022
91936270,4,1,1,M,58,7,1,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2022
9506574,2,1,4,M,48,2,1,P,B,3,"SAN FRANCISCO","SAN FRANCISCO",2022
9603692,1,1,4,M,15,2,-,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2023
9610670,1,1,1,M,33,2,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2023
9610670,2,1,3,M,61,4,-,-,-,-,"SAN FRANCISCO","SAN FRANCISCO",2023
