CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6291715,1,1,1,M,62,1,1,P,W,1,"SANTA CLARA","MOUNTAIN VIEW",2014
6663716,1,1,2,M,22,0,3,M,-,0,"SANTA CLARA",MILPITAS,2014
6663716,2,1,3,M,74,2,9,-,-,3,"SANTA CLARA",MILPITAS,2014
7020384,1,1,1,M,20,2,1,L,G,3,"SANTA CLARA","SAN JOSE",2015
7171620,1,1,3,M,57,2,9,-,-,3,"SANTA CLARA","SAN JOSE",2016
7198496,2,1,3,-,54,2,9,-,-,3,"SANTA CLARA","SAN JOSE",2016
7198496,3,1,3,-,21,3,9,-,-,3,"SANTA CLARA","SAN JOSE",2016
8001963,1,1,4,M,84,2,1,-,-,1,"SANTA CLARA",SUNNYVALE,2015
90693029,1,1,1,M,45,1,1,L,H,0,"SANTA CLARA",UNINCORPORATED,2018
90848346,1,1,1,M,20,5,1,L,G,0,"SANTA CLARA",GILROY,2018
90848346,2,1,2,M,14,7,4,M,G,0,"SANTA CLARA",GILROY,2018
90946007,2,1,1,M,24,5,1,P,W,1,"SANTA CLARA","SAN JOSE",2019
91379132,1,1,1,M,52,5,1,P,H,0,"SANTA CLARA",UNINCORPORATED,2020
91715484,1,1,1,M,18,5,1,L,H,0,"SANTA CLARA",UNINCORPORATED,2022
91715484,1,2,2,F,19,5,3,L,G,0,"SANTA CLARA",UNINCORPORATED,2022
91715484,2,1,1,M,28,6,1,M,G,0,"SANTA CLARA",UNINCORPORATED,2022
94433505,1,1,3,M,56,1,0,P,P,0,"SANTA CLARA","SAN JOSE",2024
9336117,1,1,1,M,80,4,1,L,G,0,"SANTA CLARA","SAN JOSE",2021
9336117,2,1,1,M,21,2,1,L,U,1,"SANTA CLARA","SAN JOSE",2021
9355024,2,1,1,F,41,2,1,M,G,0,"SANTA CLARA",SUNNYVALE,2021
9558994,1,1,1,M,54,2,1,L,G,0,"SANTA CLARA","SAN JOSE",2023
9567510,1,1,1,M,18,5,1,P,W,1,"SANTA CLARA","LOS ALTOS",2023
82083230,1,1,1,M,28,5,1,P,-,1,"SANTA CLARA",MILPITAS,2023
90448782,1,1,1,M,27,2,1,P,W,1,"SANTA CLARA",UNINCORPORATED,2017
8936734,1,1,3,F,11,2,9,P,-,0,"SANTA CLARA","SAN JOSE",2019
9038723,1,1,1,M,36,2,1,P,W,1,"SANTA CLARA","SANTA CLARA",2020
9048079,1,1,1,M,41,2,1,L,H,0,"SANTA CLARA","SAN JOSE",2020
9241704,1,1,2,M,51,4,-,M,G,0,"SANTA CLARA","SAN JOSE",2021
9241704,2,1,2,M,31,4,-,M,G,0,"SANTA CLARA","SAN JOSE",2021
9241704,2,2,2,M,60,2,-,M,G,0,"SANTA CLARA","SAN JOSE",2021
9258668,1,1,1,M,46,2,1,L,G,0,"SANTA CLARA","SAN JOSE",2021
9320309,2,1,3,M,38,1,-,-,-,-,"SANTA CLARA","SAN JOSE",2020
8074305,1,1,1,-,22,2,1,G,-,0,"SANTA CLARA",MILPITAS,2016
8447114,1,1,3,M,76,2,9,-,-,3,"SANTA CLARA","SAN JOSE",2016
