CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6984242,1,1,1,F,66,2,1,L,G,0,SHASTA,UNINCORPORATED,2015
9232522,2,1,3,F,51,5,-,-,-,-,SHASTA,REDDING,2020
9520341,1,1,1,M,32,1,1,L,H,0,SHASTA,REDDING,2022
9786222,1,1,1,M,20,1,1,P,A,1,SHASTA,REDDING,2024
9786222,2,1,1,M,71,5,1,M,C,0,SHASTA,REDDING,2024
84790706,1,1,2,F,17,5,3,L,G,0,SHASTA,REDDING,2025
90129311,1,1,1,M,27,2,1,M,G,0,SHASTA,REDDING,2016
90129311,1,2,2,M,21,2,3,M,G,0,SHASTA,REDDING,2016
9082189,2,1,1,F,76,2,1,L,G,0,SHASTA,REDDING,2019
9320600,1,1,1,M,66,1,1,P,W,1,SHASTA,REDDING,2021
9368833,1,1,1,M,39,5,1,L,H,0,SHASTA,REDDING,2021
9368833,2,1,2,M,31,6,8,P,A,0,SHASTA,REDDING,2021
9368833,2,2,2,M,35,6,8,P,A,0,SHASTA,REDDING,2021
9368833,2,3,1,M,42,6,1,M,G,0,SHASTA,REDDING,2021
9435908,1,1,1,F,47,5,1,L,G,0,SHASTA,REDDING,2021
9435908,2,1,2,M,51,6,3,L,G,0,SHASTA,REDDING,2021
9435908,2,2,1,F,33,5,1,L,G,0,SHASTA,REDDING,2021
90516702,1,1,1,M,48,2,1,L,G,0,SHASTA,UNINCORPORATED,2017
90606057,1,1,1,F,28,5,1,L,G,0,SHASTA,REDDING,2017
91303889,1,1,1,M,75,6,1,L,H,0,SHASTA,UNINCORPORATED,2020
91303889,2,1,1,M,32,5,1,L,G,0,SHASTA,UNINCORPORATED,2020
94507009,1,1,3,M,24,1,0,-,-,0,SHASTA,REDDING,2024
84772339,1,1,1,F,77,6,9,L,G,0,SHASTA,REDDING,2024
84772339,2,1,1,M,56,1,9,L,B,0,SHASTA,REDDING,2024
90355165,1,1,1,M,21,2,1,P,H,0,SHASTA,UNINCORPORATED,2016
90614975,1,1,1,M,62,6,1,L,G,0,SHASTA,REDDING,2017
90614975,1,2,2,-,57,5,3,L,G,0,SHASTA,REDDING,2017
91003287,1,1,1,M,18,5,1,P,W,1,SHASTA,UNINCORPORATED,2019
