CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6515156,1,1,1,M,25,2,1,P,W,1,SOLANO,FAIRFIELD,2014
6671493,2,1,3,F,40,2,9,-,-,3,SOLANO,DIXON,2014
6671493,3,1,3,M,9,3,9,-,-,3,SOLANO,DIXON,2014
6718677,1,1,1,M,27,1,1,M,G,1,SOLANO,FAIRFIELD,2017
7190271,1,1,1,M,39,1,1,P,W,1,SOLANO,VALLEJO,2016
8096300,1,1,1,M,20,3,1,L,G,0,SOLANO,"SUISUN CITY",2016
8096300,1,2,2,F,18,3,3,L,G,0,SOLANO,"SUISUN CITY",2016
8096300,1,3,2,M,13,3,4,P,G,0,SOLANO,"SUISUN CITY",2016
8096300,1,4,2,M,5,2,6,P,G,0,SOLANO,"SUISUN CITY",2016
84771360,1,1,4,M,30,5,1,-,-,1,SOLANO,FAIRFIELD,2025
91891581,2,1,1,M,21,5,1,M,G,0,SOLANO,DIXON,2022
90902308,1,1,1,M,61,5,1,L,G,0,SOLANO,DIXON,2019
90902308,3,1,1,M,67,7,1,L,G,0,SOLANO,DIXON,2019
91133226,2,1,1,M,40,5,1,L,G,0,SOLANO,FAIRFIELD,2019
91230587,1,1,1,M,43,5,1,L,H,0,SOLANO,UNINCORPORATED,2020
91230587,2,1,1,M,41,7,1,L,G,0,SOLANO,UNINCORPORATED,2020
91249546,1,1,1,M,39,5,1,P,W,1,SOLANO,UNINCORPORATED,2020
91838443,1,1,1,M,48,5,1,P,W,1,SOLANO,VACAVILLE,2022
91873850,2,1,1,M,42,1,1,P,W,1,SOLANO,VALLEJO,2022
6610577,1,1,1,F,18,3,1,L,G,0,SOLANO,UNINCORPORATED,2014
6610577,1,2,2,F,24,0,3,L,G,0,SOLANO,UNINCORPORATED,2014
6610577,2,1,1,M,63,2,1,L,G,0,SOLANO,UNINCORPORATED,2014
6610577,4,1,2,F,998,0,3,M,G,0,SOLANO,UNINCORPORATED,2014
9011690,1,1,1,M,41,2,1,L,G,0,SOLANO,"SUISUN CITY",2019
9826724,1,1,3,F,13,5,-,-,A,-,SOLANO,DIXON,2025
82286653,2,1,1,M,21,7,1,M,G,0,SOLANO,"SUISUN CITY",2023
82286653,2,2,2,F,20,5,3,M,G,0,SOLANO,"SUISUN CITY",2023
90261570,1,1,1,M,17,2,1,M,G,0,SOLANO,UNINCORPORATED,2016
91615000,2,1,1,M,27,5,1,P,W,1,SOLANO,VALLEJO,2021
6631199,1,1,2,F,56,0,4,M,C,0,SOLANO,FAIRFIELD,2014
6631199,1,2,2,-,48,0,3,M,G,0,SOLANO,FAIRFIELD,2014
6631199,2,1,1,M,48,4,1,P,W,1,SOLANO,FAIRFIELD,2014
6631199,2,2,2,M,45,2,2,L,Y,1,SOLANO,FAIRFIELD,2014
6631199,3,1,1,M,72,2,1,P,W,1,SOLANO,FAIRFIELD,2014
6991313,2,1,1,M,61,2,1,P,V,1,SOLANO,FAIRFIELD,2015
8789297,2,1,1,M,19,2,1,M,G,0,SOLANO,FAIRFIELD,2019
8971845,1,1,1,M,46,2,1,L,B,0,SOLANO,FAIRFIELD,2019
90094727,1,1,1,M,26,4,1,L,G,0,SOLANO,UNINCORPORATED,2015
90094727,2,1,2,F,25,4,3,L,G,0,SOLANO,UNINCORPORATED,2015
90094727,2,2,1,M,29,3,1,L,G,0,SOLANO,UNINCORPORATED,2015
90094727,2,3,2,F,998,1,0,L,P,0,SOLANO,UNINCORPORATED,2015
90229563,1,1,1,F,31,2,1,L,G,0,SOLANO,VALLEJO,2016
90229563,1,2,2,F,11,4,3,L,G,0,SOLANO,VALLEJO,2016
90229563,1,3,2,F,3,0,5,P,G,0,SOLANO,VALLEJO,2016
90229563,2,1,1,M,54,4,1,M,G,0,SOLANO,VALLEJO,2016
90229563,3,1,2,F,34,0,3,M,G,0,SOLANO,VALLEJO,2016
90861104,1,1,1,M,27,5,1,L,G,0,SOLANO,FAIRFIELD,2018
90861104,1,2,2,F,26,5,3,L,G,0,SOLANO,FAIRFIELD,2018
90861104,1,3,2,M,19,5,6,P,H,0,SOLANO,FAIRFIELD,2018
90861104,2,1,1,M,42,6,1,L,G,0,SOLANO,FAIRFIELD,2018
91046699,1,1,1,M,43,5,1,P,W,0,SOLANO,UNINCORPORATED,2019
91209249,1,1,1,M,20,5,1,P,W,1,SOLANO,VALLEJO,2020
91547391,1,1,1,M,38,1,1,L,G,0,SOLANO,UNINCORPORATED,2021
94386543,1,1,1,F,24,5,1,M,G,0,SOLANO,VALLEJO,2024
94386543,2,1,1,M,37,7,1,M,G,0,SOLANO,VALLEJO,2024
94386543,3,1,1,F,63,6,1,M,G,0,SOLANO,VALLEJO,2024
7207930,2,1,1,M,28,2,1,P,A,1,SOLANO,FAIRFIELD,2016
8011431,1,1,3,F,55,2,9,-,-,0,SOLANO,VALLEJO,2016
8936271,1,1,3,M,8,2,9,-,P,3,SOLANO,FAIRFIELD,2019
8936271,2,1,1,F,25,4,1,M,G,0,SOLANO,FAIRFIELD,2019
8936271,2,2,2,M,25,0,3,M,G,0,SOLANO,FAIRFIELD,2019
8936271,2,3,2,-,18,0,5,M,C,0,SOLANO,FAIRFIELD,2019
9301317,1,1,2,M,44,0,6,P,B,0,SOLANO,"RIO VISTA",2021
9301317,1,2,2,M,15,4,7,P,B,0,SOLANO,"RIO VISTA",2021
9301317,1,3,2,F,42,4,2,L,C,0,SOLANO,"RIO VISTA",2021
9301317,1,4,2,M,38,0,4,P,B,0,SOLANO,"RIO VISTA",2021
9301317,1,5,2,F,28,4,5,P,B,0,SOLANO,"RIO VISTA",2021
9301317,1,6,2,M,20,2,5,P,B,2,SOLANO,"RIO VISTA",2021
90284011,1,1,1,F,35,2,1,L,G,0,SOLANO,DIXON,2016
91997527,1,1,1,M,18,6,1,L,G,0,SOLANO,FAIRFIELD,2023
91997527,1,2,2,F,18,5,3,L,G,0,SOLANO,FAIRFIELD,2023
91997527,2,1,1,M,52,6,1,L,G,0,SOLANO,FAIRFIELD,2023
6538380,1,1,3,M,36,2,9,-,-,3,SOLANO,FAIRFIELD,2014
8302024,1,1,1,M,28,2,1,P,W,1,SOLANO,FAIRFIELD,2017
8444256,1,1,1,M,78,2,1,L,G,0,SOLANO,FAIRFIELD,2017
82039511,2,1,3,M,33,5,9,P,P,0,SOLANO,"SUISUN CITY",2023
91391632,1,1,2,M,19,5,9,M,H,0,SOLANO,FAIRFIELD,2021
91391632,1,2,2,F,21,5,3,L,G,0,SOLANO,FAIRFIELD,2021
91391632,1,3,2,M,22,5,9,M,H,0,SOLANO,FAIRFIELD,2021
91391632,1,4,2,M,15,7,9,M,H,0,SOLANO,FAIRFIELD,2021
91558337,1,1,1,M,21,5,1,M,G,0,SOLANO,VALLEJO,2021
91586911,1,1,1,M,21,5,1,M,G,0,SOLANO,UNINCORPORATED,2021
94719880,2,1,1,F,82,5,1,M,G,0,SOLANO,UNINCORPORATED,2025
6621744,1,1,1,M,29,3,1,L,G,0,SOLANO,BENICIA,2014
6621744,1,2,2,F,28,2,4,L,G,0,SOLANO,BENICIA,2014
6621744,1,3,2,M,30,4,6,M,G,0,SOLANO,BENICIA,2014
6621744,1,4,2,F,29,0,3,M,G,0,SOLANO,BENICIA,2014
6805553,1,1,3,M,20,2,9,-,-,3,SOLANO,VALLEJO,2015
7141235,1,1,2,F,36,0,3,M,G,0,SOLANO,VALLEJO,2015
7141235,2,1,3,M,65,2,9,-,-,3,SOLANO,VALLEJO,2015
7185653,1,1,4,M,27,2,1,-,-,1,SOLANO,FAIRFIELD,2016
7185653,2,1,2,M,20,0,3,M,G,0,SOLANO,FAIRFIELD,2016
9734504,1,1,1,M,20,3,1,P,W,1,SOLANO,VACAVILLE,2024
9734504,1,2,2,F,21,2,2,P,Y,1,SOLANO,VACAVILLE,2024
84389386,2,1,3,M,6,5,9,-,-,-,SOLANO,FAIRFIELD,2024
90254626,1,1,1,M,57,4,1,P,G,0,SOLANO,UNINCORPORATED,2016
90254626,1,2,2,M,17,2,3,P,G,0,SOLANO,UNINCORPORATED,2016
90612633,1,1,1,F,21,5,1,L,G,0,SOLANO,UNINCORPORATED,2017
90612633,2,1,1,F,52,6,1,L,G,0,SOLANO,UNINCORPORATED,2017
90612633,3,1,1,M,32,6,1,M,G,0,SOLANO,UNINCORPORATED,2017
90612633,3,2,2,F,37,7,3,M,G,0,SOLANO,UNINCORPORATED,2017
90612633,4,1,1,M,31,7,1,M,G,0,SOLANO,UNINCORPORATED,2017
90612633,5,1,1,M,32,6,1,M,G,0,SOLANO,UNINCORPORATED,2017
91006583,2,1,1,F,45,5,1,L,G,0,SOLANO,FAIRFIELD,2019
91093156,1,1,1,M,23,5,1,P,W,2,SOLANO,UNINCORPORATED,2019
91770893,1,1,1,F,58,5,1,L,G,0,SOLANO,UNINCORPORATED,2022
91770893,1,2,2,F,53,5,3,L,G,0,SOLANO,UNINCORPORATED,2022
6887785,1,1,1,F,59,2,1,L,G,0,SOLANO,UNINCORPORATED,2015
6887785,1,2,2,M,2,4,0,P,Q,0,SOLANO,UNINCORPORATED,2015
90881857,1,1,2,F,54,7,3,L,G,0,SOLANO,UNINCORPORATED,2018
90881857,1,2,2,M,15,5,4,M,G,0,SOLANO,UNINCORPORATED,2018
90881857,1,3,2,F,17,5,6,M,G,0,SOLANO,UNINCORPORATED,2018
91247232,1,1,1,M,26,5,1,M,G,0,SOLANO,VACAVILLE,2020
