CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6725152,1,1,2,M,27,3,1,M,G,0,STANISLAUS,UNINCORPORATED,2014
6725152,1,2,2,M,25,2,3,M,G,0,STANISLAUS,UNINCORPORATED,2014
8281621,1,1,3,F,54,2,9,-,-,3,STANISLAUS,MODESTO,2016
8404844,1,1,5,M,51,1,1,P,V,1,STANISLAUS,TURLOCK,2018
9813683,2,1,3,F,20,5,-,P,-,0,STANISLAUS,OAKDALE,2025
9813683,3,1,3,M,18,5,-,P,-,0,STANISLAUS,OAKDALE,2025
81803202,1,1,1,M,21,5,1,P,V,1,STANISLAUS,MODESTO,2022
91068508,1,1,1,M,38,5,1,L,H,0,STANISLAUS,UNINCORPORATED,2019
91904079,1,1,1,F,61,5,1,P,F,0,STANISLAUS,UNINCORPORATED,2022
92434888,1,1,4,M,11,1,0,P,V,1,STANISLAUS,UNINCORPORATED,2024
94541435,1,1,3,M,40,1,0,-,-,-,STANISLAUS,UNINCORPORATED,2024
6718176,1,1,3,F,23,1,0,P,-,0,STANISLAUS,UNINCORPORATED,2014
9302165,1,1,1,M,23,5,1,M,G,0,STANISLAUS,TURLOCK,2021
9302165,2,1,1,F,44,7,1,M,H,0,STANISLAUS,TURLOCK,2021
9430328,1,1,1,M,26,5,1,P,X,1,STANISLAUS,TURLOCK,2022
9594568,1,1,1,M,998,6,1,B,-,0,STANISLAUS,TURLOCK,2023
9594568,2,1,2,F,60,5,1,M,G,0,STANISLAUS,TURLOCK,2023
9594568,3,1,2,F,68,6,1,M,P,0,STANISLAUS,TURLOCK,2023
9598540,1,1,1,M,38,6,1,L,G,0,STANISLAUS,OAKDALE,2023
9598540,2,1,1,F,33,5,1,M,G,0,STANISLAUS,OAKDALE,2023
82274656,2,1,3,M,36,5,9,-,-,-,STANISLAUS,MODESTO,2023
84813686,1,1,1,M,51,1,1,L,G,1,STANISLAUS,MODESTO,2024
90079402,1,1,2,M,53,2,5,P,H,0,STANISLAUS,UNINCORPORATED,2015
90493774,1,1,1,M,37,1,1,L,H,0,STANISLAUS,UNINCORPORATED,2017
90493774,2,1,1,F,49,4,1,L,G,0,STANISLAUS,UNINCORPORATED,2017
92110540,1,1,1,M,26,5,1,L,G,0,STANISLAUS,UNINCORPORATED,2023
92154600,1,1,3,M,41,1,9,P,P,-,STANISLAUS,UNINCORPORATED,2022
6518098,1,1,1,F,67,4,1,L,G,0,STANISLAUS,MODESTO,2014
6518098,2,1,1,F,57,2,1,L,G,0,STANISLAUS,MODESTO,2014
6964424,1,1,1,F,27,2,1,L,G,0,STANISLAUS,UNINCORPORATED,2015
