CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
91069560,1,1,2,F,73,5,3,L,G,0,SUTTER,UNINCORPORATED,2019
91069560,1,2,1,M,70,7,1,L,G,0,SUTTER,UNINCORPORATED,2019
91964286,1,1,1,M,61,5,1,L,G,0,SUTTER,UNINCORPORATED,2022
91964286,2,1,1,M,55,6,1,L,G,0,SUTTER,UNINCORPORATED,2022
94691510,1,1,1,M,87,5,1,M,G,0,SUTTER,UNINCORPORATED,2025
94691510,2,1,1,M,53,6,1,L,G,0,SUTTER,UNINCORPORATED,2025
94691510,2,2,2,F,52,6,3,L,G,0,SUTTER,UNINCORPORATED,2025
8507126,1,1,3,M,58,1,9,-,-,3,SUTTER,"YUBA CITY",2017
9191790,2,1,3,F,58,5,-,-,-,-,SUTTER,"YUBA CITY",2020
91328307,2,1,1,F,61,5,1,L,G,0,SUTTER,UNINCORPORATED,2020
90004899,1,1,1,F,52,2,1,M,B,0,SUTTER,UNINCORPORATED,2015
90004899,2,1,1,F,33,3,1,L,G,0,SUTTER,UNINCORPORATED,2015
90004899,2,2,2,F,9,3,3,L,G,0,SUTTER,UNINCORPORATED,2015
90004899,2,3,2,F,10,3,4,L,G,0,SUTTER,UNINCORPORATED,2015
90004899,2,4,2,F,4,3,5,L,Q,0,SUTTER,UNINCORPORATED,2015
6291968,1,1,1,M,19,3,1,M,H,0,SUTTER,UNINCORPORATED,2014
6291968,2,1,2,F,57,1,4,P,G,0,SUTTER,UNINCORPORATED,2014
6291968,2,2,1,M,60,4,1,L,G,0,SUTTER,UNINCORPORATED,2014
6291968,2,3,2,M,25,4,3,L,G,0,SUTTER,UNINCORPORATED,2014
8335927,2,1,3,F,62,2,9,-,-,3,SUTTER,"YUBA CITY",2017
