CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
93395132,1,1,2,F,66,1,3,L,G,0,TUOLUMNE,UNINCORPORATED,2024
93395132,1,2,2,F,65,1,6,P,G,0,TUOLUMNE,UNINCORPORATED,2024
93395132,1,3,1,M,56,1,1,L,G,0,TUOLUMNE,UNINCORPORATED,2024
93395132,2,1,1,F,33,1,1,L,G,0,TUOLUMNE,UNINCORPORATED,2024
90583521,1,1,1,M,33,5,1,L,G,0,TUOLUMNE,UNINCORPORATED,2017
90583521,1,2,2,F,11,6,4,P,G,0,TUOLUMNE,UNINCORPORATED,2017
90583521,1,3,2,M,10,6,6,P,G,0,TUOLUMNE,UNINCORPORATED,2017
90589479,1,1,1,M,57,5,1,L,G,0,TUOLUMNE,UNINCORPORATED,2017
90861106,1,1,1,M,16,6,1,L,G,0,TUOLUMNE,UNINCORPORATED,2018
90861106,1,2,2,M,16,5,3,L,G,0,TUOLUMNE,UNINCORPORATED,2018
91296088,1,1,1,M,39,5,1,P,V,0,TUOLUMNE,UNINCORPORATED,2020
90557496,1,1,1,F,23,1,1,L,G,0,TUOLUMNE,UNINCORPORATED,2017
90557496,1,2,2,M,32,3,3,L,G,0,TUOLUMNE,UNINCORPORATED,2017
90018401,1,1,1,M,23,2,1,P,D,2,TUOLUMNE,UNINCORPORATED,2015
90018401,1,2,2,M,18,0,3,P,D,0,TUOLUMNE,UNINCORPORATED,2015
90403949,2,1,4,M,74,2,1,-,W,1,TUOLUMNE,UNINCORPORATED,2017
6740065,1,1,2,F,84,1,3,M,G,0,TUOLUMNE,UNINCORPORATED,2015
6740065,1,2,1,M,90,3,1,M,G,0,TUOLUMNE,UNINCORPORATED,2015
6740065,2,1,1,F,44,4,1,L,G,0,TUOLUMNE,UNINCORPORATED,2015
6740065,2,2,2,F,10,0,3,L,G,0,TUOLUMNE,UNINCORPORATED,2015
90191657,1,1,1,F,54,2,1,L,H,0,TUOLUMNE,UNINCORPORATED,2016
90762366,1,1,1,F,63,5,1,M,G,0,TUOLUMNE,UNINCORPORATED,2018
6723921,1,1,3,M,54,2,0,P,-,0,TUOLUMNE,UNINCORPORATED,2014
6723921,2,1,2,M,64,0,3,M,G,0,TUOLUMNE,UNINCORPORATED,2014
90762045,1,1,1,M,14,5,1,P,V,1,TUOLUMNE,UNINCORPORATED,2018
90762045,1,2,2,M,15,5,2,P,X,1,TUOLUMNE,UNINCORPORATED,2018
91150623,1,1,1,M,41,5,1,M,G,0,TUOLUMNE,UNINCORPORATED,2019
92361079,1,1,1,M,59,5,1,L,H,0,TUOLUMNE,UNINCORPORATED,2024
94396781,1,1,1,M,69,5,1,P,W,1,TUOLUMNE,UNINCORPORATED,2024
92045308,1,1,1,F,79,6,1,L,G,0,TUOLUMNE,UNINCORPORATED,2023
92045308,1,2,2,M,79,1,3,L,G,0,TUOLUMNE,UNINCORPORATED,2023
91562259,1,1,1,F,24,5,1,M,G,0,TUOLUMNE,UNINCORPORATED,2021
91748848,1,1,1,F,65,5,1,M,G,0,TUOLUMNE,UNINCORPORATED,2022
91776147,1,1,1,M,76,5,1,L,G,0,TUOLUMNE,UNINCORPORATED,2022
90844036,1,1,1,M,37,5,1,L,G,0,TUOLUMNE,UNINCORPORATED,2018
92397391,1,1,1,M,38,5,1,L,G,0,TUOLUMNE,UNINCORPORATED,2024
91657928,1,1,1,M,30,5,1,M,G,0,TUOLUMNE,UNINCORPORATED,2021
91665840,1,1,1,M,23,5,1,L,G,0,TUOLUMNE,UNINCORPORATED,2021
91665840,1,2,2,M,22,5,3,L,G,0,TUOLUMNE,UNINCORPORATED,2021
6666122,1,1,1,M,31,2,1,P,W,1,TUOLUMNE,UNINCORPORATED,2014
6801628,1,1,1,M,35,2,1,M,H,0,TUOLUMNE,UNINCORPORATED,2015
90407382,1,1,1,M,17,2,1,L,H,0,TUOLUMNE,UNINCORPORATED,2017
90811725,1,1,1,F,65,5,1,M,G,2,TUOLUMNE,UNINCORPORATED,2018
90811725,1,2,2,F,67,5,3,M,G,0,TUOLUMNE,UNINCORPORATED,2018
90811725,1,3,2,F,73,5,6,L,G,0,TUOLUMNE,UNINCORPORATED,2018
91735960,1,1,1,M,46,1,1,L,H,0,TUOLUMNE,UNINCORPORATED,2021
