CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6748013,1,1,1,F,56,2,1,L,G,0,YOLO,"WEST SACRAMENTO",2014
6748013,2,1,1,F,50,4,1,L,G,0,YOLO,"WEST SACRAMENTO",2014
6748013,2,2,2,F,19,4,3,L,G,0,YOLO,"WEST SACRAMENTO",2014
6748013,2,3,2,F,16,4,6,L,G,0,YOLO,"WEST SACRAMENTO",2014
6748013,3,1,2,F,55,0,3,M,G,0,YOLO,"WEST SACRAMENTO",2014
6854026,2,1,1,M,75,1,1,P,W,2,YOLO,WINTERS,2014
91497846,1,1,1,M,51,5,1,P,W,1,YOLO,UNINCORPORATED,2021
91838179,1,1,1,M,34,5,1,P,W,1,YOLO,UNINCORPORATED,2022
9100493,2,1,4,M,21,5,1,P,V,1,YOLO,DAVIS,2020
90615899,1,1,1,M,44,5,1,L,G,0,YOLO,UNINCORPORATED,2017
90873051,1,1,1,M,43,6,1,M,G,0,YOLO,UNINCORPORATED,2018
90873051,1,2,2,M,41,5,3,M,G,2,YOLO,UNINCORPORATED,2018
6940653,1,1,2,M,19,2,2,L,H,3,YOLO,WINTERS,2015
6940653,1,2,2,F,23,2,3,P,H,3,YOLO,WINTERS,2015
6940653,1,3,1,M,21,2,1,-,-,3,YOLO,WINTERS,2015
8662531,1,1,3,M,18,2,9,P,-,1,YOLO,DAVIS,2018
8662531,2,1,2,M,74,0,3,M,G,0,YOLO,DAVIS,2018
8662531,2,2,2,M,46,0,6,M,B,0,YOLO,DAVIS,2018
90458377,2,1,1,M,62,2,1,M,G,0,YOLO,"WEST SACRAMENTO",2017
90458377,2,2,2,F,53,4,2,M,G,0,YOLO,"WEST SACRAMENTO",2017
90458377,3,1,2,M,998,4,5,P,Q,0,YOLO,"WEST SACRAMENTO",2017
90458377,3,2,1,F,28,4,1,M,G,0,YOLO,"WEST SACRAMENTO",2017
91325920,1,1,2,F,27,5,3,L,G,0,YOLO,UNINCORPORATED,2020
91325920,1,2,1,M,28,6,1,L,G,0,YOLO,UNINCORPORATED,2020
91914646,1,1,1,M,24,7,1,L,G,0,YOLO,"WEST SACRAMENTO",2022
91914646,2,1,2,M,21,5,3,L,G,0,YOLO,"WEST SACRAMENTO",2022
91914646,2,2,1,F,21,6,1,L,G,0,YOLO,"WEST SACRAMENTO",2022
94386444,1,1,1,M,37,5,1,L,G,0,YOLO,UNINCORPORATED,2024
8733390,2,1,4,F,55,5,1,P,X,1,YOLO,DAVIS,2018
9555090,1,1,1,M,73,2,1,L,G,0,YOLO,WOODLAND,2023
9555090,2,1,1,F,58,4,1,M,G,0,YOLO,WOODLAND,2023
91260646,1,1,1,M,38,5,1,L,G,0,YOLO,UNINCORPORATED,2020
91260646,2,1,1,F,30,6,1,L,G,0,YOLO,UNINCORPORATED,2020
91260646,2,2,2,F,3,7,4,P,Q,0,YOLO,UNINCORPORATED,2020
91387748,1,1,1,F,40,5,3,L,G,0,YOLO,UNINCORPORATED,2021
7067438,1,1,1,M,23,2,1,G,-,0,YOLO,DAVIS,2015
8416233,1,1,2,M,11,4,6,L,H,0,YOLO,"WEST SACRAMENTO",2017
8416233,1,2,2,M,9,3,4,L,H,0,YOLO,"WEST SACRAMENTO",2017
8416233,1,3,1,F,62,2,1,L,G,0,YOLO,"WEST SACRAMENTO",2017
8416233,2,1,2,F,16,3,3,L,G,1,YOLO,"WEST SACRAMENTO",2017
8416233,2,2,1,M,18,3,1,L,G,1,YOLO,"WEST SACRAMENTO",2017
9444598,1,1,1,M,58,5,1,M,S,0,YOLO,WINTERS,2022
91229879,1,1,1,M,38,5,1,P,W,1,YOLO,DAVIS,2020
91489866,1,1,1,M,24,5,1,L,H,1,YOLO,UNINCORPORATED,2021
91489866,1,2,2,F,23,5,3,L,G,0,YOLO,UNINCORPORATED,2021
9320633,1,1,1,F,22,1,1,N,B,0,YOLO,"WEST SACRAMENTO",2022
91376637,1,1,1,M,19,5,1,M,G,0,YOLO,UNINCORPORATED,2020
91376637,1,2,2,-,998,6,3,M,G,0,YOLO,UNINCORPORATED,2020
91499331,1,1,1,M,67,1,1,M,H,1,YOLO,UNINCORPORATED,2021
91704540,1,1,1,F,47,5,1,L,H,0,YOLO,"WEST SACRAMENTO",2022
8959540,1,1,1,F,42,2,1,P,W,1,YOLO,"WEST SACRAMENTO",2019
9491441,1,1,1,M,23,2,1,P,A,1,YOLO,"WEST SACRAMENTO",2022
