CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
90331152,1,1,1,M,48,2,1,L,G,0,YUBA,UNINCORPORATED,2016
90331152,2,1,1,M,47,1,1,L,G,0,YUBA,UNINCORPORATED,2016
90331152,2,2,2,M,43,4,3,P,G,0,YUBA,UNINCORPORATED,2016
91219289,1,1,1,M,30,7,1,L,G,0,YUBA,UNINCORPORATED,2020
91219289,1,2,2,F,31,7,3,L,G,0,YUBA,UNINCORPORATED,2020
91219289,2,1,1,M,46,5,1,P,H,3,YUBA,UNINCORPORATED,2020
91242107,1,1,1,M,51,7,1,L,G,0,YUBA,UNINCORPORATED,2020
91242107,2,1,1,M,52,7,1,L,G,0,YUBA,UNINCORPORATED,2020
91242107,2,2,2,F,56,5,3,L,G,0,YUBA,UNINCORPORATED,2020
92036650,2,1,4,M,62,5,0,P,P,2,YUBA,UNINCORPORATED,2023
94600828,1,1,1,F,20,5,1,P,P,0,YUBA,UNINCORPORATED,2025
90964223,1,1,1,F,56,5,1,L,H,1,YUBA,UNINCORPORATED,2019
90964223,2,1,1,M,68,5,1,L,G,0,YUBA,UNINCORPORATED,2019
90964223,3,1,1,F,51,7,1,L,G,0,YUBA,UNINCORPORATED,2019
91159979,1,1,1,M,43,1,1,L,H,0,YUBA,UNINCORPORATED,2019
91620346,1,1,1,M,25,5,1,L,H,0,YUBA,UNINCORPORATED,2021
91620346,1,2,2,M,29,5,3,L,G,0,YUBA,UNINCORPORATED,2021
6292292,1,1,3,M,39,1,9,-,-,0,YUBA,UNINCORPORATED,2015
6292292,2,1,2,F,24,0,3,M,G,0,YUBA,UNINCORPORATED,2015
6292292,3,1,2,M,24,0,3,M,G,0,YUBA,UNINCORPORATED,2015
6292292,3,2,2,M,24,0,6,M,G,0,YUBA,UNINCORPORATED,2015
91777019,1,1,1,M,47,6,1,L,G,0,YUBA,MARYSVILLE,2022
91777019,2,1,1,F,30,5,1,L,G,0,YUBA,MARYSVILLE,2022
94533303,1,1,1,M,44,1,1,L,G,0,YUBA,UNINCORPORATED,2024
6540327,2,1,1,F,59,2,1,L,G,0,YUBA,UNINCORPORATED,2014
6540327,2,2,2,M,59,3,3,L,G,0,YUBA,UNINCORPORATED,2014
6540327,2,3,2,F,58,4,4,P,G,0,YUBA,UNINCORPORATED,2014
9081652,1,1,1,M,26,2,1,H,-,0,YUBA,MARYSVILLE,2020
9081652,2,1,1,M,68,3,1,G,-,0,YUBA,MARYSVILLE,2020
91944458,1,1,1,M,61,5,1,L,G,0,YUBA,UNINCORPORATED,2022
9280119,1,1,2,F,29,4,3,B,-,0,YUBA,MARYSVILLE,2021
9280119,3,1,2,F,30,2,3,B,-,0,YUBA,MARYSVILLE,2021
9280119,3,2,1,M,42,2,1,B,-,0,YUBA,MARYSVILLE,2021
90052503,1,1,1,M,28,2,1,P,A,1,YUBA,UNINCORPORATED,2015
90067366,1,1,1,M,36,2,1,L,G,0,YUBA,UNINCORPORATED,2015
90858637,1,1,1,F,20,5,1,L,G,0,YUBA,UNINCORPORATED,2018
91261660,1,1,1,F,38,1,1,L,G,0,YUBA,UNINCORPORATED,2020
91261660,2,1,1,F,29,5,1,L,G,0,YUBA,UNINCORPORATED,2020
