Occupants/people/parties for the Year 2005 for the Entire State filtered by Worst Injury in Crash (Fatal Injury (K) or Suspected Serious Injury (A))

"Crash Instance","Area of Road at Crash","Crash Month","Crash Type","Crash Day","Crash Year","Time of Day","Crash Longitude","Crash Latitude","County","City or Township","Vehicle Instance","Action Prior to Crash","Vehicle Type","Traffic Unit Type","Vehicle Model Year","Person Instance","Person Gender","Person Degree of Injury","Party Type","Person Age"
"2005157565","Intersection Crash - Intersection Related Other","July","Angle","10","2005","2:00 PM - 2:59 PM","-83.145283","42.513542","Oakland","Oakland County: Royal Oak","2005267865","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2001","2005412718","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","48"
"2005157607","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","7","2005","11:00 PM - 11:59 PM","-87.011401","45.873376","Delta","Delta County: Brampton Twp.","2005267939","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1992","2005412851","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","23"
"2005157607","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","7","2005","11:00 PM - 11:59 PM","-87.011401","45.873376","Delta","Delta County: Brampton Twp.","2005267939","Driver/Cyclist Action - Going Straight Ahead","Pickup Truck","Motor Vehicle","1992","2005412852","Female","Suspected Serious Injury (A)","Injured Passenger","20"
"2005157658","Intersection Crash - Within Intersection","July","Angle","10","2005","10:00 AM - 10:59 AM","-86.107217","41.984622","Cass","Cass County: Dowagiac","2005268033","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","2002","2005412990","Male","No Injury (O)","Motor Vehicle Driver","68"
"2005157658","Intersection Crash - Within Intersection","July","Angle","10","2005","10:00 AM - 10:59 AM","-86.107217","41.984622","Cass","Cass County: Dowagiac","2005268034","Driver/Cyclist Action - Going Straight Ahead","Motorcycle","Motor Vehicle","2004","2005412991","Male","Suspected Serious Injury (A)","Motor Vehicle Driver","54"
"2005157692","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","8","2005","9:00 PM - 9:59 PM","-84.062769","43.925507","Bay","Bay County: Gibson Twp.","2005268100","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1997","2005413099","Male","Suspected Minor Injury (B)","Motor Vehicle Driver","25"
"2005157692","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","8","2005","9:00 PM - 9:59 PM","-84.062769","43.925507","Bay","Bay County: Gibson Twp.","2005268100","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1997","2005413100","Female","Suspected Serious Injury (A)","Injured Passenger","23"
"2005157783","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","6","2005","4:00 PM - 4:59 PM","-84.75629","45.042457","Otsego","Otsego County: Elmira Twp.","2005268245","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1992","2005413293","Female","Possible Injury (C)","Motor Vehicle Driver","17"
"2005157783","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","6","2005","4:00 PM - 4:59 PM","-84.75629","45.042457","Otsego","Otsego County: Elmira Twp.","2005268245","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1992","2005413294","Male","Suspected Minor Injury (B)","Injured Passenger","8"
"2005157783","Other Non-Freeway Areas - Straight Roadway (not related to other selections)","July","Single Motor Vehicle","6","2005","4:00 PM - 4:59 PM","-84.75629","45.042457","Otsego","Otsego County: Elmira Twp.","2005268245","Driver/Cyclist Action - Going Straight Ahead","Passenger Car, SUV, Van","Motor Vehicle","1992","2005413295","Female","Suspected Serious Injury (A)","Injured Passenger","4"
